date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2025-08-14,00919,群益台灣精選高息,listed,14526358,505152,14021206,0,0,0,27973128,2929000,25044128,39065334,TWSE
2025-08-14,2317,鴻海,listed,43375586,14942959,28432627,4438638,184720,4253918,4727355,743892,3983463,36670008,TWSE
2025-08-14,00637L,元大滬深300正2,listed,8424000,3766000,4658000,0,0,0,39934288,11516698,28417590,33075590,TWSE
2025-08-14,00940,元大台灣價值高息,listed,7054000,403745,6650255,0,0,0,25428584,2578000,22850584,29500839,TWSE
2025-08-14,2313,華通,listed,40497658,13744200,26753458,1268000,0,1268000,1974352,2092561,-118209,27903249,TWSE
2025-08-14,2880,華南金,listed,26519444,3369633,23149811,94012,0,94012,1060000,893708,166292,23410115,TWSE
2025-08-14,2887,台新新光金,listed,42286612,16830010,25456602,1452707,1550500,-97793,1351000,5037648,-3686648,21672161,TWSE
2025-08-14,2409,友達,listed,30012714,9137094,20875620,3000,6884,-3884,368957,128000,240957,21112693,TWSE
2025-08-14,00665L,富邦恒生國企正2,listed,6938000,2077000,4861000,0,0,0,15976079,3856089,12119990,16980990,TWSE
2025-08-14,00830,國泰費城半導體,listed,7231045,4000,7227045,0,0,0,10224000,645000,9579000,16806045,TWSE
2025-08-14,2834,臺企銀,listed,17636299,2777647,14858652,134000,23000,111000,291000,100200,190800,15160452,TWSE
2025-08-14,2002,中鋼,listed,20815243,6834944,13980299,189448,10068,179380,434091,62000,372091,14531770,TWSE
2025-08-14,2881,富邦金,listed,15838264,4069990,11768274,2063761,264430,1799331,983499,184000,799499,14367104,TWSE
2025-08-14,00885,富邦越南,listed,9952000,2256000,7696000,0,0,0,9054756,3423000,5631756,13327756,TWSE
2025-08-14,2610,華航,listed,18829617,5290675,13538942,0,1074291,-1074291,194758,184000,10758,12475409,TWSE
2025-08-14,2891,中信金,listed,18533304,8003582,10529722,5800455,973430,4827025,566428,3750000,-3183572,12173175,TWSE
2025-08-14,2892,第一金,listed,14838729,3859238,10979491,195347,454,194893,263837,90000,173837,11348221,TWSE
2025-08-14,00753L,中信中國50正2,listed,4260000,6453000,-2193000,0,0,0,17040032,3656102,13383930,11190930,TWSE
2025-08-14,6770,力積電,listed,12198850,1995000,10203850,0,34000,-34000,369156,39001,330155,10500005,TWSE
2025-08-14,1605,華新,listed,16544802,9170000,7374802,0,8406,-8406,3311873,1086280,2225593,9591989,TWSE
2025-08-14,2882,國泰金,listed,20540783,13327523,7213260,2086025,401310,1684715,893884,253148,640736,9538711,TWSE
2025-08-14,3715,定穎投控,listed,18116000,12365000,5751000,3928000,0,3928000,482741,667790,-185049,9493951,TWSE
2025-08-14,3481,群創,listed,24181367,15077493,9103874,0,4133,-4133,457622,247000,210622,9310363,TWSE
2025-08-14,00918,大華優利高填息30,listed,1007884,14000,993884,0,0,0,9984026,1952000,8032026,9025910,TWSE
2025-08-14,2618,長榮航,listed,12428099,2929417,9498682,564000,1235296,-671296,534198,663962,-129764,8697622,TWSE
2025-08-14,2886,兆豐金,listed,9654915,2324381,7330534,896554,258000,638554,351672,57000,294672,8263760,TWSE
2025-08-14,00946,群益科技高息成長,listed,854000,0,854000,0,0,0,7596789,226000,7370789,8224789,TWSE
2025-08-14,4958,臻鼎-KY,listed,23097821,14919927,8177894,407000,6037,400963,917146,1402747,-485601,8093256,TWSE
2025-08-14,00939,統一台灣高息動能,listed,2031000,68125,1962875,0,0,0,6794662,668000,6126662,8089537,TWSE
2025-08-14,2801,彰銀,listed,15187053,7385000,7802053,140000,560,139440,465000,434928,30072,7971565,TWSE
2025-08-14,00633L,富邦上証正2,listed,4476000,141000,4335000,0,0,0,6037015,2806312,3230703,7565703,TWSE
2025-08-14,00673R,期元大S&P原油反1,listed,0,0,0,0,0,0,6547546,17000,6530546,6530546,TWSE
2025-08-14,2885,元大金,listed,11091621,4663029,6428592,568357,886000,-317643,592369,362634,229735,6340684,TWSE
2025-08-14,2371,大同,listed,13259787,7379991,5879796,105801,59108,46693,510231,325179,185052,6111541,TWSE
2025-08-14,00713,元大台灣高息低波,listed,3021476,86500,2934976,0,725000,-725000,3805186,227000,3578186,5788162,TWSE
2025-08-14,009802,富邦旗艦50,listed,682000,38000,644000,0,0,0,5783224,766309,5016915,5660915,TWSE
2025-08-14,00706L,期元大S&P日圓正2,listed,0,0,0,0,0,0,7264527,1670531,5593996,5593996,TWSE
2025-08-14,00915,凱基優選高股息30,listed,80100,2000,78100,0,0,0,5579789,693000,4886789,4964889,TWSE
2025-08-14,00934,中信成長高股息,listed,572000,261000,311000,475000,0,475000,4564750,504000,4060750,4846750,TWSE
2025-08-14,1301,台塑,listed,8215253,3740639,4474614,907,6000,-5093,774282,584960,189322,4658843,TWSE
2025-08-14,6005,群益證,listed,5547962,1050000,4497962,291000,227590,63410,0,0,0,4561372,TWSE
2025-08-14,2883,凱基金,listed,17960331,15088469,2871862,1325377,85242,1240135,317924,103374,214550,4326547,TWSE
2025-08-14,2303,聯電,listed,14792787,10746381,4046406,366493,973719,-607226,885000,32586,852414,4291594,TWSE
2025-08-14,6213,聯茂,listed,15756435,14167000,1589435,1603000,0,1603000,1400169,615266,784903,3977338,TWSE
2025-08-14,00650L,復華香港正2,listed,1158000,542000,616000,0,0,0,4877127,1516412,3360715,3976715,TWSE
2025-08-14,2412,中華電,listed,7024376,3375888,3648488,70825,17325,53500,135000,50000,85000,3786988,TWSE
2025-08-14,3694,海華,listed,8565000,4996000,3569000,0,0,0,81153,45302,35851,3604851,TWSE
2025-08-14,2890,永豐金,listed,8893019,5056630,3836389,394309,301754,92555,278420,675000,-396580,3532364,TWSE
2025-08-14,00924,復華S&P500成長,listed,1765000,51000,1714000,0,0,0,2656998,884443,1772555,3486555,TWSE
2025-08-14,00941,中信上游半導體,listed,1947000,35000,1912000,0,0,0,1582470,149000,1433470,3345470,TWSE
2025-08-14,00712,復華富時不動產,listed,1801000,80800,1720200,0,0,0,2511998,925091,1586907,3307107,TWSE
2025-08-14,2515,中工,listed,6528770,3729000,2799770,0,0,0,447000,27001,419999,3219769,TWSE
2025-08-14,1608,華榮,listed,3605187,764040,2841147,0,0,0,245296,89419,155877,2997024,TWSE
2025-08-14,1504,東元,listed,5948695,2682090,3266605,1000,1094866,-1093866,925968,120014,805954,2978693,TWSE
2025-08-14,00927,群益半導體收益,listed,146000,37000,109000,0,0,0,3558438,821023,2737415,2846415,TWSE
2025-08-14,5880,合庫金,listed,5654469,2878487,2775982,15263,8000,7263,214000,159487,54513,2837758,TWSE
2025-08-14,2337,旺宏,listed,4105342,1433000,2672342,0,7000,-7000,225202,81204,143998,2809340,TWSE
2025-08-14,1612,宏泰,listed,3814000,1048000,2766000,0,0,0,42343,5453,36890,2802890,TWSE
2025-08-14,2329,華泰,listed,3787248,1147000,2640248,0,0,0,148529,10361,138168,2778416,TWSE
2025-08-14,2845,遠東銀,listed,7558390,4941000,2617390,62000,0,62000,97000,14000,83000,2762390,TWSE
2025-08-14,2489,瑞軒,listed,2700559,187000,2513559,0,0,0,244461,2000,242461,2756020,TWSE
2025-08-14,2328,廣宇,listed,4922229,2888000,2034229,0,0,0,749639,48313,701326,2735555,TWSE
2025-08-14,1616,億泰,listed,6729000,4092000,2637000,0,0,0,279571,208925,70646,2707646,TWSE
2025-08-14,00936,台新永續高息中小,listed,180000,9000,171000,0,0,0,3059716,565000,2494716,2665716,TWSE
2025-08-14,6438,迅得,listed,4006142,1640001,2366141,109000,0,109000,234938,54177,180761,2655902,TWSE
2025-08-14,2884,玉山金,listed,22496581,21118481,1378100,1103319,33257,1070062,396378,191719,204659,2652821,TWSE
2025-08-14,2211,長榮鋼,listed,3344111,810000,2534111,0,8000,-8000,26452,7527,18925,2545036,TWSE
2025-08-14,2605,新興,listed,2509174,1093000,1416174,0,0,0,1052675,3000,1049675,2465849,TWSE
2025-08-14,2646,星宇航空,listed,2951000,560000,2391000,0,0,0,93000,30853,62147,2453147,TWSE
2025-08-14,3005,神基,listed,3794258,1403000,2391258,1000,166990,-165990,125517,22562,102955,2328223,TWSE
2025-08-14,2630,亞航,listed,7547000,4993145,2553855,0,0,0,104286,356302,-252016,2301839,TWSE
2025-08-14,9938,百和,listed,2342149,564182,1777967,616000,14000,602000,90777,174260,-83483,2296484,TWSE
2025-08-14,077042,宇瞻元大66購01,listed,0,0,0,0,0,0,2373000,119000,2254000,2254000,TWSE
2025-08-14,00900,富邦特選高股息30,listed,2774015,137000,2637015,0,0,0,1872711,2312710,-439999,2197016,TWSE
2025-08-14,00632R,元大台灣50反1,listed,176000,1148000,-972000,0,0,0,5107608,1957203,3150405,2178405,TWSE
2025-08-14,2009,第一銅,listed,2454000,360000,2094000,0,0,0,56221,5000,51221,2145221,TWSE
2025-08-14,05026U,金像電國票53售03,listed,0,0,0,0,0,0,2136000,11000,2125000,2125000,TWSE
2025-08-14,4960,誠美材,listed,2288997,213000,2075997,0,0,0,0,0,0,2075997,TWSE
2025-08-14,00922,國泰台灣領袖50,listed,205437,17000,188437,0,0,0,3555000,1681824,1873176,2061613,TWSE
2025-08-14,067972,台玻統一63購01,listed,0,0,0,0,0,0,2269000,215000,2054000,2054000,TWSE
2025-08-14,030745,台玻國泰53購04,listed,0,0,0,0,0,0,1994000,6000,1988000,1988000,TWSE
2025-08-14,07929P,臺股指凱基4A售19,listed,0,0,0,0,0,0,2461000,504000,1957000,1957000,TWSE
2025-08-14,057628,美時元大59購02,listed,0,0,0,0,0,0,1913000,0,1913000,1913000,TWSE
2025-08-14,6116,彩晶,listed,2956217,1134000,1822217,0,0,0,91000,14000,77000,1899217,TWSE
2025-08-14,00646,元大S&P500,listed,341000,24100,316900,0,0,0,1607852,27000,1580852,1897752,TWSE
2025-08-14,00655L,國泰中國A50正2,listed,61000,193000,-132000,0,0,0,2782640,799909,1982731,1850731,TWSE
2025-08-14,2406,國碩,listed,1710000,18000,1692000,0,0,0,207009,53000,154009,1846009,TWSE
2025-08-14,00683L,期元大美元指正2,listed,51000,0,51000,0,0,0,1738000,31336,1706664,1757664,TWSE
2025-08-14,030206,建準元大52購01,listed,0,0,0,0,0,0,1773000,33000,1740000,1740000,TWSE
2025-08-14,087463,貿聯中信51購01,listed,0,0,0,0,0,0,2111000,390000,1721000,1721000,TWSE
2025-08-14,2455,全新,listed,2195104,989161,1205943,210000,235000,-25000,547418,35059,512359,1693302,TWSE
2025-08-14,089145,華通元富51購03,listed,0,0,0,0,0,0,1684000,17000,1667000,1667000,TWSE
2025-08-14,073302,漢唐永豐64購01,listed,0,0,0,0,0,0,1665000,0,1665000,1665000,TWSE
2025-08-14,054216,國巨富邦59購02,listed,0,0,0,0,0,0,1873000,220000,1653000,1653000,TWSE
2025-08-14,3376,新日興,listed,4038944,3062858,976086,269000,0,269000,812609,407250,405359,1650445,TWSE
2025-08-14,00905,FT臺灣Smart,listed,71000,35000,36000,0,0,0,1613262,13212,1600050,1636050,TWSE
2025-08-14,2388,威盛,listed,2935397,1423000,1512397,0,1000,-1000,229429,129120,100309,1611706,TWSE
2025-08-14,068754,金像電凱基61購01,listed,0,0,0,0,0,0,1599000,5000,1594000,1594000,TWSE
2025-08-14,00907,永豐優息存股,listed,33000,21000,12000,0,0,0,2062139,500000,1562139,1574139,TWSE
2025-08-14,03855U,佳能永豐53售02,listed,0,0,0,0,0,0,1651000,90000,1561000,1561000,TWSE
2025-08-14,075417,宏致統一6C購01,listed,0,0,0,0,0,0,1541000,0,1541000,1541000,TWSE
2025-08-14,062753,新代凱基5A購01,listed,0,0,0,0,0,0,1510000,0,1510000,1510000,TWSE
2025-08-14,030682,世芯群益52購07,listed,0,0,0,0,0,0,1543000,36000,1507000,1507000,TWSE
2025-08-14,2889,國票金,listed,3192000,1746000,1446000,53000,0,53000,143000,140000,3000,1502000,TWSE
2025-08-14,069356,菱生群益5B購01,listed,0,0,0,0,0,0,1501000,0,1501000,1501000,TWSE
2025-08-14,076801,中興電永豐61購02,listed,0,0,0,0,0,0,1494000,0,1494000,1494000,TWSE
2025-08-14,062756,華夏群益5A購02,listed,0,0,0,0,0,0,1493000,0,1493000,1493000,TWSE
2025-08-14,066485,德律元大5B購09,listed,0,0,0,0,0,0,2050000,569000,1481000,1481000,TWSE
2025-08-14,047120,上緯控統一4C購01,listed,0,0,0,0,0,0,1571000,91000,1480000,1480000,TWSE
2025-08-14,089972,祥碩元大51購05,listed,0,0,0,0,0,0,1478000,17000,1461000,1461000,TWSE
2025-08-14,087470,道瓊銅永豐53購01,listed,0,0,0,0,0,0,1559000,100000,1459000,1459000,TWSE
2025-08-14,00893,國泰智能電動車,listed,242000,18000,224000,0,0,0,1486000,252000,1234000,1458000,TWSE
2025-08-14,2010,春源,listed,1578000,172000,1406000,0,0,0,51000,0,51000,1457000,TWSE
2025-08-14,2547,日勝生,listed,1690000,251001,1438999,0,4000,-4000,0,10000,-10000,1424999,TWSE
2025-08-14,6541,泰福-KY,listed,1189000,162000,1027000,0,0,0,364638,1000,363638,1390638,TWSE
2025-08-14,1402,遠東新,listed,4036068,3338455,697613,655000,60086,594914,149000,51167,97833,1390360,TWSE
2025-08-14,6443,元晶,listed,1811000,417000,1394000,0,0,0,36318,47672,-11354,1382646,TWSE
2025-08-14,062817,勝一元大5A購01,listed,0,0,0,0,0,0,1437000,57000,1380000,1380000,TWSE
2025-08-14,086388,億泰元富51購01,listed,0,0,0,0,0,0,2660000,1288000,1372000,1372000,TWSE
2025-08-14,00938,凱基優選30,listed,0,0,0,0,0,0,1531169,161065,1370104,1370104,TWSE
2025-08-14,2542,興富發,listed,2296796,985000,1311796,10000,50000,-40000,93519,6000,87519,1359315,TWSE
2025-08-14,6919,康霈*,listed,4820182,3497993,1322189,0,0,0,26000,0,26000,1348189,TWSE
2025-08-14,065405,中砂富邦5C購02,listed,0,0,0,0,0,0,1340000,0,1340000,1340000,TWSE
2025-08-14,2634,漢翔,listed,4209805,2769615,1440190,1000,0,1000,241670,346100,-104430,1336760,TWSE
2025-08-14,00929,復華台灣科技優息,listed,892145,135063,757082,0,0,0,3978999,3401038,577961,1335043,TWSE
2025-08-14,030381,祥碩元大54購01,listed,0,0,0,0,0,0,1543000,210000,1333000,1333000,TWSE
2025-08-14,6285,啟碁,listed,2246214,1008200,1238014,0,1190,-1190,106292,22000,84292,1321116,TWSE
2025-08-14,080063,長榮元富4B購06,listed,0,0,0,0,0,0,1320000,0,1320000,1320000,TWSE
2025-08-14,1326,台化,listed,6543207,5129543,1413664,0,0,0,233000,326724,-93724,1319940,TWSE
2025-08-14,030987,洋基凱基52購01,listed,0,0,0,0,0,0,1608000,292000,1316000,1316000,TWSE
2025-08-14,030735,定穎控國票53購04,listed,0,0,0,0,0,0,1853000,548000,1305000,1305000,TWSE
2025-08-14,04230U,金像電凱基51售02,listed,0,0,0,0,0,0,1532000,236000,1296000,1296000,TWSE
2025-08-14,07836P,穎崴元大49售03,listed,0,0,0,0,0,0,1300000,5000,1295000,1295000,TWSE
2025-08-14,04633U,世芯凱基51售22,listed,0,0,0,0,0,0,1335000,43000,1292000,1292000,TWSE
2025-08-14,00882,中信中國高股息,listed,342000,1110000,-768000,0,0,0,7126412,5069689,2056723,1288723,TWSE
2025-08-14,2612,中航,listed,2073000,839000,1234000,0,0,0,94556,43043,51513,1285513,TWSE
2025-08-14,053006,宇隆統一54購01,listed,0,0,0,0,0,0,1298000,17000,1281000,1281000,TWSE
2025-08-14,00861,元大全球未來通訊,listed,14000,12000,2000,0,0,0,1278062,0,1278062,1280062,TWSE
2025-08-14,08538P,緯穎元大4A售21,listed,0,0,0,0,0,0,1280000,0,1280000,1280000,TWSE
2025-08-14,069613,大同台新5C購01,listed,0,0,0,0,0,0,1423000,145000,1278000,1278000,TWSE
2025-08-14,1476,儒鴻,listed,1903317,790781,1112536,23000,4517,18483,225031,86775,138256,1269275,TWSE
2025-08-14,1810,和成,listed,7909000,6616000,1293000,0,0,0,7000,33447,-26447,1266553,TWSE
2025-08-14,6282,康舒,listed,2080406,954100,1126306,11000,3000,8000,181406,54321,127085,1261391,TWSE
2025-08-14,083819,志聖統一54購03,listed,0,0,0,0,0,0,1407000,148000,1259000,1259000,TWSE
2025-08-14,04279U,臻鼎元富51售02,listed,0,0,0,0,0,0,1279000,20000,1259000,1259000,TWSE
2025-08-14,03680U,華碩富邦4C售02,listed,0,0,0,0,0,0,2735000,1487000,1248000,1248000,TWSE
2025-08-14,5876,上海商銀,listed,2075509,1194602,880907,258822,98,258724,132718,30466,102252,1241883,TWSE
2025-08-14,08656P,嘉澤國票4C售01,listed,0,0,0,0,0,0,1253000,19000,1234000,1234000,TWSE
2025-08-14,057722,定穎控元富59購01,listed,0,0,0,0,0,0,1549000,317000,1232000,1232000,TWSE
2025-08-14,00662,富邦NASDAQ,listed,236000,16100,219900,0,0,0,1216000,205934,1010066,1229966,TWSE
2025-08-14,9802,鈺齊-KY,listed,1724601,567000,1157601,0,0,0,77609,10421,67188,1224789,TWSE
2025-08-14,2355,敬鵬,listed,2399000,1126000,1273000,0,35040,-35040,45279,75856,-30577,1207383,TWSE
2025-08-14,00952,凱基台灣AI50,listed,152000,0,152000,0,0,0,2182000,1142933,1039067,1191067,TWSE
2025-08-14,072739,玉晶光群益5C購02,listed,0,0,0,0,0,0,1188000,0,1188000,1188000,TWSE
2025-08-14,089962,建準元大51購02,listed,0,0,0,0,0,0,1182000,0,1182000,1182000,TWSE
2025-08-14,6962,奕力-KY,listed,1708130,576000,1132130,0,0,0,55545,12004,43541,1175671,TWSE
2025-08-14,6176,瑞儀,listed,1560261,433000,1127261,55000,48308,6692,21234,1552,19682,1153635,TWSE
2025-08-14,07545P,南亞科統一49售01,listed,0,0,0,0,0,0,1150000,0,1150000,1150000,TWSE
2025-08-14,2603,長榮,listed,2967809,2419817,547992,374235,49368,324867,357642,83487,274155,1147014,TWSE
2025-08-14,088888,洋基元大51購06,listed,0,0,0,0,0,0,1230000,96000,1134000,1134000,TWSE
2025-08-14,083731,志聖國票51購02,listed,0,0,0,0,0,0,1279000,149000,1130000,1130000,TWSE
2025-08-14,07586P,臺股指凱基4C售12,listed,0,0,0,0,0,0,1195000,67000,1128000,1128000,TWSE
2025-08-14,2201,裕隆,listed,1467348,458000,1009348,9000,2000,7000,123870,13109,110761,1127109,TWSE
2025-08-14,089846,漢唐統一57購02,listed,0,0,0,0,0,0,1142000,33000,1109000,1109000,TWSE
2025-08-14,083651,T50反1群益4C購07,listed,0,0,0,0,0,0,1499000,397000,1102000,1102000,TWSE
2025-08-14,071302,晶豪科凱基63購01,listed,0,0,0,0,0,0,1111000,10000,1101000,1101000,TWSE
2025-08-14,085487,T50反1元富4C購12,listed,0,0,0,0,0,0,1300000,202000,1098000,1098000,TWSE
2025-08-14,089971,祥碩元大51購04,listed,0,0,0,0,0,0,1108000,14000,1094000,1094000,TWSE
2025-08-14,081756,達邁群益4C購01,listed,0,0,0,0,0,0,1151000,57000,1094000,1094000,TWSE
2025-08-14,00921,兆豐龍頭等權重,listed,74000,0,74000,0,0,0,1036207,23000,1013207,1087207,TWSE
2025-08-14,04566U,臺股指群益51售18,listed,0,0,0,0,0,0,1518000,433000,1085000,1085000,TWSE
2025-08-14,063158,T50反1永豐61購01,listed,0,0,0,0,0,0,1413000,335000,1078000,1078000,TWSE
2025-08-14,061321,華泰元大59購06,listed,0,0,0,0,0,0,1101000,24000,1077000,1077000,TWSE
2025-08-14,034723,訊芯統一55購01,listed,0,0,0,0,0,0,1075000,0,1075000,1075000,TWSE
2025-08-14,8112,至上,listed,1777310,740000,1037310,0,11000,-11000,51058,16656,34402,1060712,TWSE
2025-08-14,070178,南亞科台新66購02,listed,0,0,0,0,0,0,1079000,19000,1060000,1060000,TWSE
2025-08-14,084974,穎崴凱基4C購05,listed,0,0,0,0,0,0,1305000,246000,1059000,1059000,TWSE
2025-08-14,084712,奇鋐元大4C購20,listed,0,0,0,0,0,0,1466000,411000,1055000,1055000,TWSE
2025-08-14,078117,雲豹元大4A購01,listed,0,0,0,0,0,0,1088000,35000,1053000,1053000,TWSE
2025-08-14,6141,柏承,listed,1390000,356000,1034000,0,0,0,16522,0,16522,1050522,TWSE
2025-08-14,00949,復華日本龍頭,listed,21000,18000,3000,0,0,0,1371999,325580,1046419,1049419,TWSE
2025-08-14,083634,神達統一52購04,listed,0,0,0,0,0,0,1156000,108000,1048000,1048000,TWSE
2025-08-14,083006,欣興國票52購02,listed,0,0,0,0,0,0,1486000,451000,1035000,1035000,TWSE
2025-08-14,00876,元大全球5G,listed,119000,11000,108000,0,0,0,965808,39000,926808,1034808,TWSE
2025-08-14,085295,欣興國票52購03,listed,0,0,0,0,0,0,1840000,807000,1033000,1033000,TWSE
2025-08-14,3706,神達,listed,13531500,9231015,4300485,3042000,7671000,-4629000,2154171,793855,1360316,1031801,TWSE
2025-08-14,1532,勤美,listed,1131000,81000,1050000,0,25740,-25740,9280,8000,1280,1025540,TWSE
2025-08-14,077085,臺股指凱基56購04,listed,0,0,0,0,0,0,1081000,56000,1025000,1025000,TWSE
2025-08-14,064548,新代永豐5C購01,listed,0,0,0,0,0,0,1023000,2000,1021000,1021000,TWSE
2025-08-14,2855,統一證,listed,2354000,1334778,1019222,0,0,0,0,0,0,1019222,TWSE
2025-08-14,087960,大銀統一59購02,listed,0,0,0,0,0,0,1093000,75000,1018000,1018000,TWSE
2025-08-14,087283,祥碩元大51購01,listed,0,0,0,0,0,0,1094000,85000,1009000,1009000,TWSE
2025-08-14,2367,燿華,listed,11538390,10909047,629343,0,0,0,524656,152017,372639,1001982,TWSE
2025-08-14,2851,中再保,listed,1197213,186000,1011213,0,0,0,18000,29000,-11000,1000213,TWSE
2025-08-14,049266,聯鈞凱基57購02,listed,0,0,0,0,0,0,1000000,0,1000000,1000000,TWSE
2025-08-14,030855,AES元大52購06,listed,0,0,0,0,0,0,1008000,9000,999000,999000,TWSE
2025-08-14,2601,益航,listed,1077000,118000,959000,0,0,0,40000,0,40000,999000,TWSE
2025-08-14,063199,智易群益5A購02,listed,0,0,0,0,0,0,998000,0,998000,998000,TWSE
2025-08-14,063737,新代凱基5A購02,listed,0,0,0,0,0,0,998000,0,998000,998000,TWSE
2025-08-14,064880,元債2X群益5A購01,listed,0,0,0,0,0,0,998000,0,998000,998000,TWSE
2025-08-14,065169,臻鼎永豐5C購03,listed,0,0,0,0,0,0,998000,0,998000,998000,TWSE
2025-08-14,079802,祥碩元大4A購02,listed,0,0,0,0,0,0,1020000,23000,997000,997000,TWSE
2025-08-14,084438,臺指反元大4C購02,listed,0,0,0,0,0,0,998000,1000,997000,997000,TWSE
2025-08-14,2913,農林,listed,1130000,251000,879000,0,0,0,117343,0,117343,996343,TWSE
2025-08-14,2867,三商壽,listed,1603853,434000,1169853,0,0,0,0,175000,-175000,994853,TWSE
2025-08-14,058433,元晶統一53購02,listed,0,0,0,0,0,0,998000,4000,994000,994000,TWSE
2025-08-14,030741,洋基國票53購01,listed,0,0,0,0,0,0,1002000,10000,992000,992000,TWSE
2025-08-14,063328,啟碁凱基5B購02,listed,0,0,0,0,0,0,988000,0,988000,988000,TWSE
2025-08-14,8996,高力,listed,3804949,3291750,513199,339000,34000,305000,393163,223788,169375,987574,TWSE
2025-08-14,030757,漢唐統一57購03,listed,0,0,0,0,0,0,1669000,687000,982000,982000,TWSE
2025-08-14,030163,臻鼎群益53購03,listed,0,0,0,0,0,0,981000,6000,975000,975000,TWSE
2025-08-14,075443,國企2X群益65購01,listed,0,0,0,0,0,0,1044000,75000,969000,969000,TWSE
2025-08-14,3576,聯合再生,listed,1182000,221000,961000,0,0,0,0,0,0,961000,TWSE
2025-08-14,065708,緯穎永豐5B購04,listed,0,0,0,0,0,0,1010000,56000,954000,954000,TWSE
2025-08-14,081166,達邁國票4C購01,listed,0,0,0,0,0,0,1004000,58000,946000,946000,TWSE
2025-08-14,00930,永豐ESG低碳高息,listed,132000,0,132000,0,0,0,876270,70000,806270,938270,TWSE
2025-08-14,03190U,臺股指元大4B售39,listed,0,0,0,0,0,0,1020000,87000,933000,933000,TWSE
2025-08-14,5521,工信,listed,973000,94000,879000,0,0,0,51000,0,51000,930000,TWSE
2025-08-14,5608,四維航,listed,1695000,1037000,658000,0,0,0,294089,23500,270589,928589,TWSE
