date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2025-12-23,0050,元大台灣50,listed,38706100,4814946,33891154,1600000,0,1600000,34916954,3678632,31238322,66729476,TWSE
2025-12-23,00715L,期街口布蘭特正2,listed,14166000,0,14166000,0,0,0,37332457,939515,36392942,50558942,TWSE
2025-12-23,2887,台新新光金,listed,66860453,160011688,-93151235,150765000,10451000,140314000,1766000,1404068,361932,47524697,TWSE
2025-12-23,00637L,元大滬深300正2,listed,12672000,572000,12100000,0,0,0,28439471,4670110,23769361,35869361,TWSE
2025-12-23,00919,群益台灣精選高息,listed,8148609,7986015,162594,0,0,0,31031761,5403984,25627777,25790371,TWSE
2025-12-23,00981A,主動統一台股增長,listed,6049060,1305000,4744060,0,0,0,19630988,3207977,16423011,21167071,TWSE
2025-12-23,00982A,主動群益台灣強棒,listed,3626400,0,3626400,0,0,0,17890669,1409638,16481031,20107431,TWSE
2025-12-23,00988A,主動統一全球創新,listed,3844500,1000,3843500,0,0,0,11937000,903000,11034000,14877500,TWSE
2025-12-23,00830,國泰費城半導體,listed,8083373,67000,8016373,0,0,0,8033000,1182000,6851000,14867373,TWSE
2025-12-23,00680L,元大美債20正2,listed,0,0,0,0,0,0,16109382,1386000,14723382,14723382,TWSE
2025-12-23,2313,華通,listed,32862400,22649366,10213034,118000,0,118000,3081771,1918895,1162876,11493910,TWSE
2025-12-23,2344,華邦電,listed,44901438,35835368,9066070,312000,63000,249000,2436300,679023,1757277,11072347,TWSE
2025-12-23,00712,復華富時不動產,listed,5029500,153000,4876500,0,0,0,5703999,514795,5189204,10065704,TWSE
2025-12-23,00885,富邦越南,listed,9452000,361082,9090918,0,0,0,2851122,2018537,832585,9923503,TWSE
2025-12-23,0052,富邦科技,listed,5350800,899230,4451570,1430000,0,1430000,8324992,4335570,3989422,9870992,TWSE
2025-12-23,00642U,期元大S&P石油,listed,677000,16000,661000,0,0,0,7893600,212000,7681600,8342600,TWSE
2025-12-23,2885,元大金,listed,25850797,4946444,20904353,30000,13431000,-13401000,696890,241131,455759,7959112,TWSE
2025-12-23,00878,國泰永續高股息,listed,643261,16000,627261,0,0,0,10045984,3782181,6263803,6891064,TWSE
2025-12-23,089793,AES富邦53購02,listed,0,0,0,0,0,0,6707000,0,6707000,6707000,TWSE
2025-12-23,2884,玉山金,listed,12629800,84627035,-71997235,76894000,5000,76889000,1456002,650017,805985,5697750,TWSE
2025-12-23,2330,台積電,listed,10640099,5910150,4729949,254000,4000,250000,969926,837377,132549,5112498,TWSE
2025-12-23,00633L,富邦上証正2,listed,1956000,335000,1621000,0,0,0,4001368,656000,3345368,4966368,TWSE
2025-12-23,8028,昇陽半導體,listed,4424281,1358153,3066128,1060000,0,1060000,379868,176889,202979,4329107,TWSE
2025-12-23,1717,長興,listed,6139174,2584018,3555156,0,0,0,816759,47000,769759,4324915,TWSE
2025-12-23,2883,凱基金,listed,12163136,12878498,-715362,6440000,1071000,5369000,640000,1055140,-415140,4238498,TWSE
2025-12-23,00663L,國泰臺灣加權正2,listed,11000,6000,5000,0,0,0,4086377,219082,3867295,3872295,TWSE
2025-12-23,3045,台灣大,listed,2875076,27086044,-24210968,27816000,190000,27626000,525357,175405,349952,3764984,TWSE
2025-12-23,00922,國泰台灣領袖50,listed,2035395,205500,1829895,0,0,0,3529728,1621000,1908728,3738623,TWSE
2025-12-23,2867,三商壽,listed,9225000,5445340,3779660,0,0,0,279000,461000,-182000,3597660,TWSE
2025-12-23,00940,元大台灣價值高息,listed,13000,20000,-7000,0,0,0,3999000,477913,3521087,3514087,TWSE
2025-12-23,00939,統一台灣高息動能,listed,69000,41000,28000,0,0,0,3337000,96565,3240435,3268435,TWSE
2025-12-23,8131,福懋科,listed,18649180,15433350,3215830,0,0,0,493017,523261,-30244,3185586,TWSE
2025-12-23,00991A,主動復華未來50,listed,14242000,919000,13323000,0,0,0,22867000,33025819,-10158819,3164181,TWSE
2025-12-23,009813,貝萊德標普卓越50,listed,208000,79000,129000,0,0,0,4612000,1580000,3032000,3161000,TWSE
2025-12-23,3715,定穎投控,listed,7865628,4578000,3287628,13000,313000,-300000,237282,76200,161082,3148710,TWSE
2025-12-23,5871,中租-KY,listed,14058295,4171115,9887180,0,6802000,-6802000,97657,45097,52560,3137740,TWSE
2025-12-23,2609,陽明,listed,4197664,1675976,2521688,0,44000,-44000,644802,21000,623802,3101490,TWSE
2025-12-23,2618,長榮航,listed,6504517,2774075,3730442,0,769000,-769000,230495,93000,137495,3098937,TWSE
2025-12-23,00671R,富邦NASDAQ反1,listed,0,0,0,0,0,0,7182000,4174000,3008000,3008000,TWSE
2025-12-23,00915,凱基優選高股息30,listed,15000,425000,-410000,0,0,0,3803681,456240,3347441,2937441,TWSE
2025-12-23,06045U,力積電國票53售03,listed,0,0,0,0,0,0,2917000,70000,2847000,2847000,TWSE
2025-12-23,1326,台化,listed,5484122,5134913,349209,0,0,0,2672784,180285,2492499,2841708,TWSE
2025-12-23,00665L,富邦恒生國企正2,listed,69000,117000,-48000,0,0,0,5946122,3058215,2887907,2839907,TWSE
2025-12-23,5522,遠雄,listed,4659000,3171722,1487278,1286000,0,1286000,64000,4000,60000,2833278,TWSE
2025-12-23,00688L,國泰20年美債正2,listed,56000,14000,42000,0,0,0,3330797,674000,2656797,2698797,TWSE
2025-12-23,8021,尖點,listed,11687522,9061946,2625576,0,0,0,68672,72036,-3364,2622212,TWSE
2025-12-23,8112,至上,listed,4234000,2138000,2096000,0,2012,-2012,589856,107292,482564,2576552,TWSE
2025-12-23,00985A,主動野村台灣50,listed,220000,83000,137000,0,0,0,2719000,363445,2355555,2492555,TWSE
2025-12-23,043530,愛普元大56購03,listed,0,0,0,0,0,0,2542000,52000,2490000,2490000,TWSE
2025-12-23,043390,同欣電元大55購02,listed,0,0,0,0,0,0,2852000,477000,2375000,2375000,TWSE
2025-12-23,009802,富邦旗艦50,listed,297000,55000,242000,0,0,0,2836000,755796,2080204,2322204,TWSE
2025-12-23,00965,元大航太防衛科技,listed,942090,1000,941090,0,0,0,2448993,1111000,1337993,2279083,TWSE
2025-12-23,2633,台灣高鐵,listed,3059823,824545,2235278,0,0,0,12000,6000,6000,2241278,TWSE
2025-12-23,00650L,復華香港正2,listed,350000,75000,275000,0,0,0,2864230,932744,1931486,2206486,TWSE
2025-12-23,032108,鴻海元大54購13,listed,0,0,0,0,0,0,2320000,137000,2183000,2183000,TWSE
2025-12-23,037643,台積電中信59購05,listed,0,0,0,0,0,0,2138000,6000,2132000,2132000,TWSE
2025-12-23,00882,中信中國高股息,listed,968000,0,968000,0,0,0,3789595,2636165,1153430,2121430,TWSE
2025-12-23,049389,聯發科元大56購14,listed,0,0,0,0,0,0,1987000,2000,1985000,1985000,TWSE
2025-12-23,031824,帆宣富邦52購01,listed,0,0,0,0,0,0,2233000,379000,1854000,1854000,TWSE
2025-12-23,2637,慧洋-KY,listed,2348500,609000,1739500,0,7000,-7000,120212,80483,39729,1772229,TWSE
2025-12-23,072169,南亞科凱基5C購07,listed,0,0,0,0,0,0,1750000,0,1750000,1750000,TWSE
2025-12-23,2610,華航,listed,6015602,4381042,1634560,576000,525000,51000,296000,243257,52743,1738303,TWSE
2025-12-23,034594,昇貿元大54購04,listed,0,0,0,0,0,0,1820000,100000,1720000,1720000,TWSE
2025-12-23,00941,中信上游半導體,listed,1351000,0,1351000,0,0,0,464887,100000,364887,1715887,TWSE
2025-12-23,046861,台虹元富56購01,listed,0,0,0,0,0,0,2190000,486000,1704000,1704000,TWSE
2025-12-23,1605,華新,listed,7060508,6508036,552472,1650000,0,1650000,157714,669446,-511732,1690740,TWSE
2025-12-23,1711,永光,listed,2879010,1195018,1683992,0,0,0,2798,2035,763,1684755,TWSE
2025-12-23,2104,國際中橡,listed,2210000,522000,1688000,0,0,0,0,8001,-8001,1679999,TWSE
2025-12-23,5880,合庫金,listed,6044794,4359502,1685292,0,0,0,13660,28000,-14340,1670952,TWSE
