date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-05-26,1101,台泥,listed,1223,268,31539,944,0,1,86,-1,1,TWSE
2026-05-26,1102,亞泥,listed,213,114,1999,99,0,0,14,0,0,TWSE
2026-05-26,1103,嘉泥,listed,45,41,4115,4,0,0,0,0,0,TWSE
2026-05-26,1104,環泥,listed,28,5,1147,23,0,0,0,0,0,TWSE
2026-05-26,1108,幸福,listed,2,0,826,2,0,0,0,0,0,TWSE
2026-05-26,1109,信大,listed,3,0,311,3,1,0,1,1,0,TWSE
2026-05-26,1110,東泥,listed,3,3,2884,0,0,0,0,0,0,TWSE
2026-05-26,1201,味全,listed,14,12,1319,1,0,0,0,0,0,TWSE
2026-05-26,1203,味王,listed,0,0,6,0,0,0,0,0,0,TWSE
2026-05-26,1210,大成,listed,14,4,2053,10,0,0,0,0,0,TWSE
2026-05-26,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-05-26,1215,卜蜂,listed,65,9,296,49,0,0,0,0,0,TWSE
2026-05-26,1216,統一,listed,82,5,1448,77,0,0,8,0,0,TWSE
2026-05-26,1217,愛之味,listed,80,21,1240,59,0,0,0,0,6,TWSE
2026-05-26,1218,泰山,listed,1,9,1424,-8,0,0,0,0,0,TWSE
2026-05-26,1219,福壽,listed,2,2,531,0,0,0,0,0,0,TWSE
2026-05-26,1220,台榮,listed,1,0,1144,-11,0,0,1,0,0,TWSE
2026-05-26,1225,福懋油,listed,2,2,7140,0,0,0,0,0,0,TWSE
2026-05-26,1227,佳格,listed,8,5,980,3,0,0,11,0,0,TWSE
2026-05-26,1229,聯華,listed,139,75,3037,63,0,42,4,-42,0,TWSE
2026-05-26,1231,聯華食,listed,0,3,265,-3,0,0,0,0,0,TWSE
2026-05-26,1232,大統益,listed,1,0,5,1,0,0,0,0,0,TWSE
2026-05-26,1233,天仁,listed,0,2,55,-2,0,0,0,0,0,TWSE
2026-05-26,1234,黑松,listed,0,7,20,-7,0,0,0,0,0,TWSE
2026-05-26,1235,興泰,listed,0,0,695,0,0,0,0,0,0,TWSE
2026-05-26,1236,宏亞,listed,9,15,153,-6,0,0,0,0,0,TWSE
2026-05-26,1256,鮮活果汁-KY,listed,22,38,378,-16,0,0,0,0,0,TWSE
2026-05-26,1301,台塑,listed,716,244,19010,446,12,0,180,-48,2,TWSE
2026-05-26,1303,南亞,listed,7229,6335,39935,890,145,201,2852,-56,168,TWSE
2026-05-26,1304,台聚,listed,250,562,12671,-337,1,3,114,-2,16,TWSE
2026-05-26,1305,華夏,listed,323,90,7072,226,0,4,242,-4,4,TWSE
2026-05-26,1307,三芳,listed,64,4,1760,60,0,2,1,-2,0,TWSE
2026-05-26,1308,亞聚,listed,455,64,8346,381,0,3,6,-3,0,TWSE
2026-05-26,1309,台達化,listed,321,184,8979,91,0,11,1445,-11,0,TWSE
2026-05-26,1310,台苯,listed,151,48,11300,85,1,0,2,1,11,TWSE
2026-05-26,1312,國喬,listed,695,144,15375,455,2,3,2,-1,0,TWSE
2026-05-26,1313,聯成,listed,150,71,11428,73,0,0,2,0,0,TWSE
2026-05-26,1314,中石化,listed,227,356,47225,-172,1,7,8,-6,7,TWSE
2026-05-26,1315,達新,listed,0,0,39,0,0,0,0,0,0,TWSE
2026-05-26,1316,上曜,listed,132,44,11115,87,0,0,22,0,2,TWSE
2026-05-26,1319,東陽,listed,111,13,5432,94,0,1,55,-1,0,TWSE
