date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-07-06,006201,元大富櫃50,otc,49.61,50.15,47.88,48.46,-0.84,-1.7039,275190,13492976,292,TPEx,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-06,00679B,元大美債20年,otc,27.07,27.2,27.06,27.16,0.1,0.3695,17153743,465417472,3336,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00687B,國泰20年美債,otc,28.15,28.29,28.14,28.25,0.1,0.3552,11141352,314627941,2007,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00687C,國泰20年美債+櫃U,otc,9.39,9.39,9.39,9.39,0.0,0.0,25000,234750,2,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00694B,富邦美債1-3,otc,42.19,42.34,42.19,42.34,0.15,0.3555,205587,8693084,68,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00695B,富邦美債7-10,otc,35.54,35.75,35.54,35.73,0.13,0.3652,89735,3205754,85,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00696B,富邦美債20年,otc,29.48,29.62,29.48,29.58,0.1,0.3392,2138497,63248928,257,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00697B,元大美債7-10,otc,35.84,35.99,35.83,35.98,0.14,0.3906,231883,8337124,197,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00719B,元大美債1-3,otc,31.31,31.45,31.31,31.44,0.1,0.3191,3023076,94916230,808,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-07-06,00720B,元大投資級公司債,otc,33.68,33.83,33.67,33.79,0.11,0.3266,3891524,131346329,1197,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
