date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-07-30,2323,中環,listed,9.5,9.74,9.32,9.38,-0.13,-1.367,5188984,49195165,1793,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2324,仁寶,listed,35.0,35.0,33.2,33.75,-1.1,-3.1564,62497775,2115954698,24918,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2327,國巨*,listed,479.5,527.0,456.5,456.5,-50.5,-9.9606,106828585,52070434544,154850,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2328,廣宇,listed,39.45,40.7,38.7,38.8,-1.55,-3.8414,3112329,123186605,2418,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2329,華泰,listed,38.5,39.7,37.15,37.55,-1.2,-3.0968,4371890,168212774,3039,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2330,台積電,listed,2205.0,2260.0,2190.0,2205.0,5.0,0.2273,51372177,114098819878,177492,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2331,精英,listed,17.35,18.0,17.2,17.45,-0.35,-1.9663,1704960,29783018,965,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2332,友訊,listed,23.65,23.9,21.6,21.6,-2.4,-10.0,47598600,1066150677,17912,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2337,旺宏,listed,95.8,103.0,91.8,91.8,-10.2,-10.0,94668252,9238786057,57823,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2338,光罩,listed,35.0,36.05,33.05,33.5,-1.65,-4.6942,2671390,92346479,1874,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2340,台亞,listed,25.8,26.65,24.8,25.05,-1.25,-4.7529,3100040,79582332,2308,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2342,茂矽,listed,32.05,32.7,29.45,29.95,-2.1,-6.5523,2804247,87197448,2322,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2344,華邦電,listed,123.5,133.0,117.0,118.5,-11.5,-8.8462,211417971,26393850492,100482,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2345,智邦,listed,1910.0,2050.0,1855.0,1935.0,0.0,0.0,3309765,6466321220,6141,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,2347,聯強,listed,87.0,87.4,84.6,86.1,0.7,0.8197,3562370,306669777,2998,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
