date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-03-02,1101,台泥,listed,77,657,31373,-592,11,3,385,8,0,TWSE
2026-03-02,1102,亞泥,listed,26,14,1548,12,0,0,6,0,0,TWSE
2026-03-02,1103,嘉泥,listed,1,0,3790,1,0,0,2,0,0,TWSE
2026-03-02,1104,環泥,listed,8,18,1355,-10,0,0,1,0,0,TWSE
2026-03-02,1108,幸福,listed,8,0,763,8,0,0,1,0,0,TWSE
2026-03-02,1109,信大,listed,0,4,628,-4,0,0,2,0,0,TWSE
2026-03-02,1110,東泥,listed,0,3,2931,-13,0,0,7,0,0,TWSE
2026-03-02,1201,味全,listed,1,5,1276,-4,0,0,20,0,0,TWSE
2026-03-02,1203,味王,listed,0,0,12,0,0,0,0,0,0,TWSE
2026-03-02,1210,大成,listed,23,17,1165,6,0,0,5,0,0,TWSE
2026-03-02,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1215,卜蜂,listed,6,101,391,-95,1,0,11,1,0,TWSE
2026-03-02,1216,統一,listed,4,270,1457,-267,5,0,21,5,0,TWSE
2026-03-02,1217,愛之味,listed,46,13,1482,33,0,0,0,0,0,TWSE
2026-03-02,1218,泰山,listed,3,0,1390,-5,0,0,0,0,0,TWSE
2026-03-02,1219,福壽,listed,0,28,979,-28,0,0,0,0,0,TWSE
2026-03-02,1220,台榮,listed,14,0,1041,14,0,0,0,0,0,TWSE
2026-03-02,1225,福懋油,listed,157,20,4383,137,3,0,3,3,0,TWSE
2026-03-02,1227,佳格,listed,2,3,1373,-1,0,0,0,0,0,TWSE
2026-03-02,1229,聯華,listed,23,26,1994,-3,1,0,12,1,0,TWSE
2026-03-02,1231,聯華食,listed,27,1,281,21,0,0,0,0,0,TWSE
2026-03-02,1232,大統益,listed,0,0,8,0,0,0,0,0,0,TWSE
2026-03-02,1233,天仁,listed,0,0,61,0,0,0,0,0,0,TWSE
2026-03-02,1234,黑松,listed,0,2,38,-2,0,0,0,0,0,TWSE
2026-03-02,1235,興泰,listed,1,3,857,-2,0,0,0,0,0,TWSE
2026-03-02,1236,宏亞,listed,11,8,130,3,0,0,0,0,0,TWSE
2026-03-02,1256,鮮活果汁-KY,listed,2,14,294,-12,0,0,0,0,0,TWSE
2026-03-02,1301,台塑,listed,4221,2792,19345,1427,63,41,1598,21,13,TWSE
2026-03-02,1303,南亞,listed,4775,4559,39950,172,105,497,5456,-392,47,TWSE
2026-03-02,1304,台聚,listed,757,114,5935,643,3,10,20,-7,7,TWSE
2026-03-02,1305,華夏,listed,211,239,3906,-29,5,12,332,-7,1,TWSE
2026-03-02,1307,三芳,listed,71,107,1755,-36,0,2,8,-2,0,TWSE
2026-03-02,1308,亞聚,listed,382,75,3762,307,6,6,23,0,1,TWSE
2026-03-02,1309,台達化,listed,321,253,6138,68,6,0,11,6,0,TWSE
2026-03-02,1310,台苯,listed,585,485,4724,100,0,1,6,-1,0,TWSE
2026-03-02,1312,國喬,listed,1303,629,15552,674,4,16,236,-12,1,TWSE
2026-03-02,1313,聯成,listed,636,707,8035,-71,7,1,117,6,1,TWSE
2026-03-02,1314,中石化,listed,2203,480,44571,1575,9,8,389,1,40,TWSE
2026-03-02,1315,達新,listed,6,0,82,6,0,0,0,0,0,TWSE
2026-03-02,1316,上曜,listed,59,152,11556,-94,1,0,13,1,2,TWSE
2026-03-02,1319,東陽,listed,75,172,4237,-99,12,2,44,10,0,TWSE
2026-03-02,1321,大洋,listed,14,2,6699,10,0,0,7,0,0,TWSE
2026-03-02,1323,永裕,listed,0,0,55,0,0,0,0,0,0,TWSE
2026-03-02,1324,地球,listed,10,28,1873,-18,0,0,0,0,0,TWSE
2026-03-02,1325,恆大,listed,7,20,2488,-13,0,3,101,-3,0,TWSE
2026-03-02,1326,台化,listed,6550,2760,19642,3790,27,271,902,-244,41,TWSE
2026-03-02,1337,再生-KY,listed,20,13,21878,7,6,0,6,6,0,TWSE
2026-03-02,1338,廣華-KY,listed,14,5,1978,9,0,0,0,0,0,TWSE
2026-03-02,1339,昭輝,listed,1,9,640,-8,0,0,0,0,0,TWSE
2026-03-02,1340,勝悅-KY,listed,12,9,850,3,0,0,0,0,0,TWSE
2026-03-02,1342,八貫,listed,4,12,552,-8,0,0,2,0,0,TWSE
2026-03-02,1402,遠東新,listed,4606,4090,5831,516,109,5,178,104,12,TWSE
2026-03-02,1409,新纖,listed,355,85,11272,270,0,11,95,-11,0,TWSE
2026-03-02,1410,南染,listed,0,0,199,0,0,0,0,0,0,TWSE
2026-03-02,1413,宏洲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1414,東和,listed,94,83,1375,11,0,0,0,0,0,TWSE
2026-03-02,1416,廣豐,listed,46,75,4048,-39,0,0,0,0,0,TWSE
2026-03-02,1417,嘉裕,listed,2,20,959,-18,0,0,0,0,0,TWSE
2026-03-02,1418,東華,listed,2,0,676,2,0,0,0,0,0,TWSE
2026-03-02,1419,新紡,listed,5,19,1398,-14,0,0,5,0,0,TWSE
2026-03-02,1423,利華,listed,0,4,49,-4,0,0,0,0,0,TWSE
2026-03-02,1432,大魯閣,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1434,福懋,listed,111,100,2467,11,0,0,12,0,0,TWSE
2026-03-02,1435,中福,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1436,華友聯,listed,95,43,941,45,33,4,35,29,0,TWSE
2026-03-02,1437,勤益控,listed,2,0,2068,2,0,0,0,0,0,TWSE
2026-03-02,1438,三地開發,listed,3,0,199,3,0,0,0,0,0,TWSE
2026-03-02,1439,雋揚,listed,1,0,1161,-3,0,0,0,0,0,TWSE
2026-03-02,1440,南紡,listed,67,152,3590,-86,0,0,0,0,0,TWSE
2026-03-02,1441,大東,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1442,名軒,listed,47,0,1838,47,0,0,17,0,0,TWSE
2026-03-02,1443,立益物流,listed,0,0,46,0,0,0,0,0,0,TWSE
2026-03-02,1444,力麗,listed,0,0,1656,-63,0,0,0,0,0,TWSE
2026-03-02,1445,大宇,listed,0,2,1362,-2,0,0,0,0,0,TWSE
2026-03-02,1446,宏和,listed,51,12,2739,39,0,3,1,-3,0,TWSE
2026-03-02,1447,力鵬,listed,0,9,3925,-11,0,0,0,0,0,TWSE
2026-03-02,1449,佳和,listed,33,2,4026,28,0,0,15,0,0,TWSE
2026-03-02,1451,年興,listed,0,6,804,-6,0,0,0,0,0,TWSE
2026-03-02,1452,宏益,listed,0,0,95,0,0,0,0,0,0,TWSE
2026-03-02,1453,大將,listed,15,14,1295,1,0,0,1,0,0,TWSE
2026-03-02,1454,台富,listed,0,12,1710,-36,0,0,0,0,0,TWSE
2026-03-02,1455,集盛,listed,104,91,3685,13,40,0,117,40,0,TWSE
2026-03-02,1456,怡華,listed,13,0,228,13,0,0,0,0,0,TWSE
2026-03-02,1457,宜進,listed,2,0,515,2,0,0,0,0,0,TWSE
2026-03-02,1459,聯發,listed,5,15,404,-10,0,0,0,0,0,TWSE
2026-03-02,1460,宏遠,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1463,強盛新,listed,1,10,480,-9,0,0,0,0,0,TWSE
2026-03-02,1464,得力,listed,0,30,1584,-30,0,0,0,0,0,TWSE
2026-03-02,1465,偉全,listed,24,28,3466,-4,0,0,0,0,0,TWSE
2026-03-02,1466,聚隆,listed,485,333,5067,152,29,1,131,28,2,TWSE
2026-03-02,1467,南緯,listed,0,0,4206,0,0,0,0,0,0,TWSE
2026-03-02,1468,昶和,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1470,大統新創,listed,0,0,5,0,0,0,0,0,0,TWSE
2026-03-02,1471,首利,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1472,三洋實業,listed,1,0,4279,1,0,0,0,0,0,TWSE
2026-03-02,1473,台南,listed,5,4,1031,1,0,0,0,0,0,TWSE
2026-03-02,1474,弘裕,listed,82,7,3006,75,0,0,0,0,0,TWSE
2026-03-02,1475,業旺,listed,1,33,516,-32,0,0,0,0,0,TWSE
2026-03-02,1476,儒鴻,listed,2,5,253,-3,0,2,1,-2,1,TWSE
2026-03-02,1477,聚陽,listed,3,5,169,-2,0,0,4,0,0,TWSE
2026-03-02,1503,士電,listed,323,317,3118,2,0,19,81,-19,2,TWSE
2026-03-02,1504,東元,listed,976,605,30023,302,7,78,266,-71,6,TWSE
2026-03-02,1506,正道,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1512,瑞利,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1513,中興電,listed,530,333,8593,185,0,21,75,-21,2,TWSE
2026-03-02,1514,亞力,listed,326,437,7856,-115,2,21,175,-19,8,TWSE
2026-03-02,1515,力山,listed,89,19,1945,65,0,0,2,0,0,TWSE
2026-03-02,1516,川飛,listed,0,0,64,0,0,0,0,0,0,TWSE
2026-03-02,1517,利奇,listed,25,25,1417,0,0,0,82,0,0,TWSE
2026-03-02,1519,華城,listed,342,246,2936,96,8,17,221,-9,3,TWSE
2026-03-02,1521,大億,listed,9,5,375,4,0,0,0,0,0,TWSE
2026-03-02,1522,堤維西,listed,13,25,5347,-21,0,0,22,0,0,TWSE
2026-03-02,1524,耿鼎,listed,51,38,5050,13,0,44,153,-44,0,TWSE
2026-03-02,1525,江申,listed,1,0,213,1,0,0,0,0,0,TWSE
2026-03-02,1526,日馳,listed,6,9,1053,-13,0,0,0,0,0,TWSE
2026-03-02,1527,鑽全,listed,3,1,644,2,0,0,0,0,0,TWSE
2026-03-02,1528,恩德,listed,350,373,10758,-23,14,6,476,8,5,TWSE
2026-03-02,1529,樂事綠能,listed,347,292,3035,54,2,0,13,2,7,TWSE
2026-03-02,1530,亞崴,listed,3,0,103,3,0,0,0,0,0,TWSE
2026-03-02,1531,高林股,listed,6,9,2297,-3,0,0,2,0,0,TWSE
2026-03-02,1532,勤美,listed,28,36,2561,-8,0,0,0,0,0,TWSE
2026-03-02,1533,車王電,listed,8,3,690,5,0,0,0,0,0,TWSE
2026-03-02,1535,中宇,listed,0,1,48,-1,0,0,0,0,0,TWSE
2026-03-02,1536,和大,listed,193,200,8411,-11,12,111,1757,-99,3,TWSE
2026-03-02,1537,廣隆,listed,0,3,40,-3,0,0,0,0,0,TWSE
2026-03-02,1538,正峰,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1539,巨庭,listed,22,3,1401,14,0,0,0,0,0,TWSE
2026-03-02,1540,喬福,listed,7,20,2533,-16,1,3,3,-2,0,TWSE
2026-03-02,1541,錩泰,listed,2,5,138,-3,0,0,0,0,0,TWSE
2026-03-02,1558,伸興,listed,0,0,345,0,0,0,0,0,0,TWSE
2026-03-02,1560,中砂,listed,218,233,2168,-15,1,12,257,-46,3,TWSE
2026-03-02,1563,巧新,listed,0,7,434,-7,0,0,0,0,0,TWSE
2026-03-02,1568,倉佑,listed,0,7,1082,-7,0,0,0,0,0,TWSE
2026-03-02,1582,信錦,listed,373,135,3380,237,0,0,7,0,3,TWSE
2026-03-02,1583,程泰,listed,0,3,25,-3,0,0,0,0,0,TWSE
2026-03-02,1587,吉茂,listed,21,14,3773,0,1,0,27,1,0,TWSE
2026-03-02,1589,永冠-KY,listed,0,10,3422,-60,0,0,56,0,0,TWSE
2026-03-02,1590,亞德客-KY,listed,14,49,158,-35,0,0,1,0,0,TWSE
2026-03-02,1597,直得,listed,32,70,2866,-43,3,0,11,3,5,TWSE
2026-03-02,1598,岱宇,listed,2,10,2186,-8,0,0,0,0,0,TWSE
2026-03-02,1603,華電,listed,15,64,2422,-55,0,0,5,0,0,TWSE
2026-03-02,1604,聲寶,listed,0,0,339,0,0,0,0,0,0,TWSE
2026-03-02,1605,華新,listed,1081,3051,82052,-1977,47,97,2369,-50,37,TWSE
2026-03-02,1608,華榮,listed,270,324,7281,-54,7,1,89,6,5,TWSE
2026-03-02,1609,大亞,listed,160,197,13419,-84,13,1,51,11,1,TWSE
2026-03-02,1611,中電,listed,14,28,3352,-14,0,0,1,0,0,TWSE
2026-03-02,1612,宏泰,listed,15,46,1814,-31,0,0,2,0,0,TWSE
2026-03-02,1614,三洋電,listed,0,10,309,-10,0,0,0,0,0,TWSE
2026-03-02,1615,大山,listed,1,2,141,-3,0,0,0,0,0,TWSE
2026-03-02,1616,億泰,listed,7,39,3739,-32,0,27,3,-27,0,TWSE
2026-03-02,1617,榮星,listed,0,9,1232,-20,0,0,0,0,1,TWSE
2026-03-02,1618,合機,listed,36,106,3964,-70,2,5,12,-3,1,TWSE
2026-03-02,1626,艾美特-KY,listed,24,99,3140,-75,0,0,0,0,0,TWSE
2026-03-02,1702,南僑,listed,0,1,419,-1,0,0,1,0,0,TWSE
2026-03-02,1707,葡萄王,listed,0,12,324,-12,0,0,0,0,0,TWSE
2026-03-02,1708,東鹼,listed,409,438,3156,-34,0,0,4,0,15,TWSE
2026-03-02,1709,和益,listed,11,88,2120,-77,0,0,0,0,0,TWSE
2026-03-02,1710,東聯,listed,157,166,3976,-31,0,1,34,-1,0,TWSE
2026-03-02,1711,永光,listed,1548,1863,18496,-323,36,132,596,-99,60,TWSE
2026-03-02,1712,興農,listed,76,84,586,-8,0,0,1,0,0,TWSE
2026-03-02,1713,國化,listed,41,17,3223,24,0,0,2,0,0,TWSE
2026-03-02,1714,和桐,listed,507,330,5159,177,0,1,24,-1,0,TWSE
2026-03-02,1717,長興,listed,6597,12516,25710,-5941,87,123,527,-37,94,TWSE
2026-03-02,1718,中纖,listed,1729,276,13058,1353,0,0,34,0,0,TWSE
2026-03-02,1720,生達,listed,165,16,571,149,0,0,0,0,0,TWSE
2026-03-02,1721,三晃,listed,0,3,720,-5,0,0,0,0,0,TWSE
2026-03-02,1722,台肥,listed,13,20,1784,-10,0,0,5,0,0,TWSE
2026-03-02,1723,中碳,listed,21,17,414,3,0,1,1,-1,0,TWSE
2026-03-02,1725,元禎,listed,31,9,199,22,0,0,0,0,0,TWSE
2026-03-02,1726,永記,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,1727,中華化,listed,965,900,4246,65,66,11,405,55,17,TWSE
2026-03-02,1730,花仙子,listed,0,0,7,0,0,0,0,0,0,TWSE
2026-03-02,1731,美吾華,listed,1,0,311,1,0,0,0,0,0,TWSE
2026-03-02,1732,毛寶,listed,11,26,627,-15,0,40,32,-40,0,TWSE
2026-03-02,1733,五鼎,listed,4,15,4081,-11,0,0,6,0,0,TWSE
2026-03-02,1734,杏輝,listed,0,0,648,-1,0,0,0,0,0,TWSE
2026-03-02,1735,日勝化,listed,321,211,810,110,3,0,3,3,5,TWSE
2026-03-02,1736,喬山,listed,49,45,1937,3,8,2,19,6,0,TWSE
2026-03-02,1737,臺鹽,listed,0,0,34,0,0,0,0,0,0,TWSE
2026-03-02,1752,南光,listed,0,10,607,-10,0,0,8,0,0,TWSE
2026-03-02,1760,寶齡富錦,listed,4,10,855,-7,0,0,1,0,0,TWSE
2026-03-02,1762,中化生,listed,0,6,735,-6,0,0,0,0,0,TWSE
2026-03-02,1773,勝一,listed,23,355,1304,-332,0,4,1,-4,1,TWSE
2026-03-02,1776,展宇,listed,1,2,755,-1,0,0,0,0,0,TWSE
2026-03-02,1783,和康生,listed,4,1,1373,3,0,0,0,0,0,TWSE
2026-03-02,1786,科妍,listed,162,151,6436,11,0,0,1,0,0,TWSE
2026-03-02,1789,神隆,listed,29,73,2827,-44,3,0,51,3,1,TWSE
2026-03-02,1795,美時,listed,277,114,7806,161,0,4,32,-4,0,TWSE
2026-03-02,1802,台玻,listed,23695,13521,73634,10174,3491,873,13689,2568,266,TWSE
2026-03-02,1805,寶徠,listed,0,0,816,0,0,0,0,0,0,TWSE
2026-03-02,1806,冠軍,listed,10,12,2972,-2,0,0,0,0,0,TWSE
2026-03-02,1808,潤隆,listed,73,22,5816,41,1,0,1,1,0,TWSE
2026-03-02,1809,中釉,listed,906,743,5592,163,26,24,113,2,4,TWSE
2026-03-02,1810,和成,listed,377,118,19239,259,0,0,13,0,27,TWSE
2026-03-02,1817,凱撒衛,listed,0,0,21,0,0,0,0,0,0,TWSE
2026-03-02,1903,士紙,listed,12,10,3868,2,0,0,3,0,0,TWSE
2026-03-02,1904,正隆,listed,3,4,1686,-1,0,1,3,-1,0,TWSE
2026-03-02,1905,華紙,listed,221,124,7582,89,0,38,13,-38,0,TWSE
2026-03-02,1906,寶隆,listed,0,0,6837,0,0,0,0,0,0,TWSE
2026-03-02,1907,永豐餘,listed,12,9,23902,3,0,0,4,0,0,TWSE
2026-03-02,1909,榮成,listed,95,53,7065,42,0,0,10,0,0,TWSE
2026-03-02,2002,中鋼,listed,1567,1052,27042,512,2,45,224,-43,3,TWSE
2026-03-02,2006,東和鋼鐵,listed,35,39,602,-4,1,0,3,1,0,TWSE
2026-03-02,2007,燁興,listed,0,5,231,-5,0,0,0,0,0,TWSE
2026-03-02,2008,高興昌,listed,3,1,322,2,0,0,0,0,0,TWSE
2026-03-02,2009,第一銅,listed,106,198,5418,-92,0,0,241,0,0,TWSE
2026-03-02,2010,春源,listed,15,38,1332,-23,0,0,2,0,0,TWSE
2026-03-02,2012,春雨,listed,0,9,83,-12,0,0,0,0,0,TWSE
2026-03-02,2013,中鋼構,listed,1,16,1497,-15,0,0,0,0,0,TWSE
2026-03-02,2014,中鴻,listed,0,50,2541,-50,0,0,221,0,0,TWSE
2026-03-02,2015,豐興,listed,5,0,61,5,0,0,0,0,0,TWSE
2026-03-02,2017,官田鋼,listed,538,403,5237,135,5,4,7,1,11,TWSE
2026-03-02,2020,美亞,listed,14,3,538,11,0,0,3,0,0,TWSE
2026-03-02,2022,聚亨,listed,0,4,1097,-4,0,0,0,0,0,TWSE
2026-03-02,2023,燁輝,listed,141,65,3576,76,0,0,4,0,0,TWSE
2026-03-02,2024,志聯,listed,3,1,35,2,0,0,0,0,0,TWSE
2026-03-02,2025,千興,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,2027,大成鋼,listed,458,427,31355,26,0,2,59,-2,0,TWSE
2026-03-02,2028,威致,listed,2,0,645,2,0,0,0,0,0,TWSE
2026-03-02,2029,盛餘,listed,8,12,453,-4,0,0,0,0,0,TWSE
2026-03-02,2030,彰源,listed,24,87,2084,-63,0,1,36,-1,0,TWSE
2026-03-02,2031,新光鋼,listed,6,78,1829,-82,0,0,9,0,0,TWSE
2026-03-02,2032,新鋼,listed,43,41,2779,2,0,0,0,0,0,TWSE
2026-03-02,2033,佳大,listed,2,8,5899,-6,0,0,0,0,0,TWSE
2026-03-02,2034,允強,listed,31,100,4885,-69,0,0,10,0,0,TWSE
2026-03-02,2038,海光,listed,5,275,4687,-270,0,0,2,0,0,TWSE
2026-03-02,2049,上銀,listed,945,809,6049,130,42,2,75,39,0,TWSE
2026-03-02,2059,川湖,listed,21,35,678,-14,0,0,2,0,0,TWSE
2026-03-02,2062,橋椿,listed,17,80,2442,-65,0,1,0,-1,0,TWSE
2026-03-02,2069,運錩,listed,3,21,602,-18,0,0,0,0,0,TWSE
2026-03-02,2101,南港,listed,47,37,31366,5,0,0,5,0,0,TWSE
2026-03-02,2102,泰豐,listed,11,23,4790,-12,0,0,3,0,0,TWSE
2026-03-02,2103,台橡,listed,1896,1004,10121,892,11,66,43,-55,4,TWSE
2026-03-02,2104,國際中橡,listed,800,2330,17936,-1530,5,30,26,-25,0,TWSE
2026-03-02,2105,正新,listed,873,223,9900,650,1,1649,35,-1648,6,TWSE
2026-03-02,2106,建大,listed,106,62,3040,44,0,24,0,-24,0,TWSE
2026-03-02,2107,厚生,listed,0,6,204,-6,0,0,0,0,0,TWSE
2026-03-02,2108,南帝,listed,58,126,1751,-118,0,3,6,-3,4,TWSE
2026-03-02,2109,華豐,listed,2,7,957,-5,0,0,0,0,0,TWSE
2026-03-02,2114,鑫永銓,listed,0,0,67,0,0,0,0,0,0,TWSE
2026-03-02,2115,六暉-KY,listed,8,1,617,7,0,0,0,0,0,TWSE
2026-03-02,2201,裕隆,listed,223,123,11173,100,0,3,68,-3,0,TWSE
2026-03-02,2204,中華,listed,5,43,3644,-43,5,1,32,4,0,TWSE
2026-03-02,2206,三陽工業,listed,4,144,24911,-140,4,0,34,4,0,TWSE
2026-03-02,2207,和泰車,listed,1,0,88,1,0,0,0,0,0,TWSE
2026-03-02,2208,台船,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-03-02,2211,長榮鋼,listed,14,16,761,-2,0,0,1,0,0,TWSE
2026-03-02,2228,劍麟,listed,11,8,2503,2,0,0,20,0,0,TWSE
2026-03-02,2231,為升,listed,15,25,5184,-10,2,0,81,2,0,TWSE
2026-03-02,2233,宇隆,listed,219,187,6842,32,0,0,71,0,1,TWSE
2026-03-02,2236,百達-KY,listed,30,5,11339,25,7,2,74,5,0,TWSE
2026-03-02,2239,英利-KY,listed,28,18,1581,10,0,0,0,0,0,TWSE
2026-03-02,2241,艾姆勒,listed,66,17,2684,48,0,1,3,-1,0,TWSE
2026-03-02,2243,宏旭-KY,listed,0,0,552,0,0,0,0,0,0,TWSE
2026-03-02,2247,汎德永業,listed,10,12,224,-2,0,0,14,0,0,TWSE
2026-03-02,2248,華勝-KY,listed,0,0,46,0,0,0,0,0,0,TWSE
2026-03-02,2250,IKKA-KY,listed,4,2,1536,1,0,0,0,0,0,TWSE
2026-03-02,2254,巨鎧精密-創,listed,8,26,3197,-18,0,0,0,0,0,TWSE
2026-03-02,2301,光寶科,listed,1192,1095,19273,96,3,35,171,-32,1,TWSE
2026-03-02,2302,麗正,listed,27,41,2868,-14,0,0,3,0,0,TWSE
2026-03-02,2303,聯電,listed,2798,4358,83868,-1578,56,373,3167,-317,40,TWSE
2026-03-02,2305,全友,listed,11,55,2389,-47,1,1,1,0,0,TWSE
2026-03-02,2308,台達電,listed,373,522,6395,-154,20,29,536,-9,6,TWSE
2026-03-02,2312,金寶,listed,2767,563,40380,2166,1,68,317,-67,26,TWSE
