date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2025-12-09,1101,台泥,listed,1284,1988,35269,-705,6,5,316,-9,0,TWSE
2025-12-09,1102,亞泥,listed,2,23,2809,-21,0,2,12,-2,0,TWSE
2025-12-09,1103,嘉泥,listed,1,4,3911,-13,0,0,3,0,0,TWSE
2025-12-09,1104,環泥,listed,37,11,2282,26,0,0,3,0,0,TWSE
2025-12-09,1108,幸福,listed,0,0,660,0,0,0,1,0,0,TWSE
2025-12-09,1109,信大,listed,0,0,629,0,0,0,2,0,0,TWSE
2025-12-09,1110,東泥,listed,0,0,3113,0,0,0,0,0,0,TWSE
2025-12-09,1201,味全,listed,2,0,1281,2,0,0,0,0,0,TWSE
2025-12-09,1203,味王,listed,0,0,11,0,0,0,0,0,0,TWSE
2025-12-09,1210,大成,listed,7,10,1326,-3,0,0,2,0,0,TWSE
2025-12-09,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1215,卜蜂,listed,4,34,638,-30,2,0,30,2,0,TWSE
2025-12-09,1216,統一,listed,32,10,864,22,2,0,9,2,0,TWSE
2025-12-09,1217,愛之味,listed,13,15,1486,-2,0,0,0,0,0,TWSE
2025-12-09,1218,泰山,listed,54,92,2003,-39,0,0,0,0,0,TWSE
2025-12-09,1219,福壽,listed,2,43,623,-41,1,0,1,1,0,TWSE
2025-12-09,1220,台榮,listed,0,0,1009,0,0,0,1,0,0,TWSE
2025-12-09,1225,福懋油,listed,2,0,3831,2,0,0,0,0,0,TWSE
2025-12-09,1227,佳格,listed,7,0,2107,7,0,0,0,0,0,TWSE
2025-12-09,1229,聯華,listed,3,10,1789,-8,0,6,31,-6,1,TWSE
2025-12-09,1231,聯華食,listed,1,8,426,-7,0,0,4,0,0,TWSE
2025-12-09,1232,大統益,listed,0,0,8,0,0,0,0,0,0,TWSE
2025-12-09,1233,天仁,listed,0,0,63,0,0,0,0,0,0,TWSE
2025-12-09,1234,黑松,listed,0,0,142,0,0,0,0,0,0,TWSE
2025-12-09,1235,興泰,listed,0,0,985,0,0,0,0,0,0,TWSE
2025-12-09,1236,宏亞,listed,0,0,99,0,0,0,0,0,0,TWSE
2025-12-09,1256,鮮活果汁-KY,listed,7,1,237,6,0,0,0,0,0,TWSE
2025-12-09,1301,台塑,listed,1088,574,26544,513,39,327,891,-288,9,TWSE
2025-12-09,1303,南亞,listed,4342,5574,41607,-1234,427,978,9092,-552,89,TWSE
2025-12-09,1304,台聚,listed,323,565,6652,-242,7,8,43,-1,0,TWSE
2025-12-09,1305,華夏,listed,47,138,4101,-91,2,2,158,0,0,TWSE
2025-12-09,1307,三芳,listed,5,58,2316,-53,0,0,21,0,0,TWSE
2025-12-09,1308,亞聚,listed,269,149,4820,120,16,33,52,-17,2,TWSE
2025-12-09,1309,台達化,listed,86,72,4768,12,1,5,25,-6,0,TWSE
2025-12-09,1310,台苯,listed,15,18,3564,-3,0,0,24,0,1,TWSE
2025-12-09,1312,國喬,listed,359,370,13869,-11,8,8,248,0,1,TWSE
2025-12-09,1313,聯成,listed,189,149,10384,40,0,4,140,-4,5,TWSE
2025-12-09,1314,中石化,listed,1503,3968,62015,-2503,2,6,266,-4,7,TWSE
2025-12-09,1315,達新,listed,0,0,64,0,0,0,0,0,0,TWSE
2025-12-09,1316,上曜,listed,67,59,11480,5,6,2,235,1,15,TWSE
2025-12-09,1319,東陽,listed,371,301,4979,70,21,5,48,16,1,TWSE
2025-12-09,1321,大洋,listed,8,40,6854,-32,4,0,9,4,0,TWSE
2025-12-09,1323,永裕,listed,0,0,81,0,0,0,0,0,0,TWSE
2025-12-09,1324,地球,listed,0,0,1858,0,0,0,0,0,0,TWSE
2025-12-09,1325,恆大,listed,41,31,2300,10,0,1,287,-1,0,TWSE
2025-12-09,1326,台化,listed,576,1833,23309,-1258,10,66,909,-56,11,TWSE
2025-12-09,1337,再生-KY,listed,5,0,21197,5,0,0,0,0,0,TWSE
2025-12-09,1338,廣華-KY,listed,4,2,2129,2,0,0,0,0,0,TWSE
2025-12-09,1339,昭輝,listed,1,0,801,1,0,0,0,0,0,TWSE
2025-12-09,1340,勝悅-KY,listed,42,0,1220,42,0,0,0,0,0,TWSE
2025-12-09,1342,八貫,listed,1,1,532,0,0,0,0,0,0,TWSE
2025-12-09,1402,遠東新,listed,28,25,1958,3,0,0,75,0,0,TWSE
2025-12-09,1409,新纖,listed,120,202,15657,-82,0,2,104,-2,1,TWSE
2025-12-09,1410,南染,listed,0,1,231,-1,0,0,0,0,0,TWSE
2025-12-09,1413,宏洲,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1414,東和,listed,1,14,1244,-13,0,0,0,0,0,TWSE
2025-12-09,1416,廣豐,listed,31,10,3896,21,0,2,0,-2,0,TWSE
2025-12-09,1417,嘉裕,listed,43,15,1114,28,0,0,0,0,0,TWSE
2025-12-09,1418,東華,listed,0,0,721,0,0,0,0,0,0,TWSE
2025-12-09,1419,新紡,listed,9,35,1757,-26,0,5,26,-5,0,TWSE
2025-12-09,1423,利華,listed,0,0,64,0,0,0,0,0,0,TWSE
2025-12-09,1432,大魯閣,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1434,福懋,listed,7,37,1653,-30,0,0,0,0,0,TWSE
2025-12-09,1435,中福,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1436,華友聯,listed,6,1,1240,5,0,0,4,0,0,TWSE
2025-12-09,1437,勤益控,listed,1,20,2476,-19,0,0,2,0,0,TWSE
2025-12-09,1438,三地開發,listed,0,0,295,0,0,0,0,0,0,TWSE
2025-12-09,1439,雋揚,listed,0,0,936,0,0,0,0,0,0,TWSE
2025-12-09,1440,南紡,listed,11,105,3242,-94,0,0,15,0,0,TWSE
2025-12-09,1441,大東,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1442,名軒,listed,22,0,1431,22,3,34,289,-31,0,TWSE
2025-12-09,1443,立益物流,listed,0,0,103,0,0,0,0,0,0,TWSE
2025-12-09,1444,力麗,listed,0,0,4171,-1,0,0,65,0,0,TWSE
2025-12-09,1445,大宇,listed,4,23,1904,-19,0,0,0,0,0,TWSE
2025-12-09,1446,宏和,listed,4,2,2805,2,0,0,2,0,0,TWSE
2025-12-09,1447,力鵬,listed,0,0,6091,0,0,0,2,0,0,TWSE
2025-12-09,1449,佳和,listed,31,1,5014,-14,0,0,15,0,0,TWSE
2025-12-09,1451,年興,listed,1,2,1220,-1,0,0,0,0,0,TWSE
2025-12-09,1452,宏益,listed,4,0,108,4,0,0,0,0,0,TWSE
2025-12-09,1453,大將,listed,0,5,1157,-16,0,0,1,0,0,TWSE
2025-12-09,1454,台富,listed,11,0,2024,11,0,0,0,0,0,TWSE
2025-12-09,1455,集盛,listed,16,5,3127,10,0,0,0,0,0,TWSE
2025-12-09,1456,怡華,listed,5,0,197,5,0,0,0,0,0,TWSE
2025-12-09,1457,宜進,listed,0,0,383,0,0,0,4,0,0,TWSE
2025-12-09,1459,聯發,listed,0,0,48,0,0,0,0,0,0,TWSE
2025-12-09,1460,宏遠,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1463,強盛新,listed,33,12,595,16,0,0,30,0,0,TWSE
2025-12-09,1464,得力,listed,5,2,1777,3,0,1,0,-1,0,TWSE
2025-12-09,1465,偉全,listed,60,37,3546,23,0,0,0,0,0,TWSE
2025-12-09,1466,聚隆,listed,12,12,3482,0,0,7,9,-7,0,TWSE
2025-12-09,1467,南緯,listed,0,0,5074,0,0,0,20,0,0,TWSE
2025-12-09,1468,昶和,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1470,大統新創,listed,0,0,6,0,0,0,0,0,0,TWSE
2025-12-09,1471,首利,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1472,三洋實業,listed,24,0,4212,24,0,0,0,0,0,TWSE
2025-12-09,1473,台南,listed,6,23,972,-17,0,0,0,0,0,TWSE
2025-12-09,1474,弘裕,listed,1,1,3903,0,0,0,0,0,0,TWSE
2025-12-09,1475,業旺,listed,11,0,562,11,0,0,0,0,0,TWSE
2025-12-09,1476,儒鴻,listed,101,6,388,95,0,0,0,0,0,TWSE
2025-12-09,1477,聚陽,listed,14,5,294,5,0,0,19,0,0,TWSE
2025-12-09,1503,士電,listed,72,98,4404,-40,3,2,54,1,0,TWSE
2025-12-09,1504,東元,listed,809,767,23260,32,89,107,877,-18,4,TWSE
2025-12-09,1506,正道,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1512,瑞利,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1513,中興電,listed,136,158,9015,-30,2,1,31,1,0,TWSE
2025-12-09,1514,亞力,listed,168,214,6814,-46,1,0,76,1,0,TWSE
2025-12-09,1515,力山,listed,6,2,1864,-6,0,2,6,-2,0,TWSE
2025-12-09,1516,川飛,listed,0,0,175,0,0,0,0,0,0,TWSE
2025-12-09,1517,利奇,listed,9,10,1288,-1,0,0,112,0,0,TWSE
2025-12-09,1519,華城,listed,341,217,4155,124,12,4,212,8,2,TWSE
2025-12-09,1521,大億,listed,1,0,341,1,0,0,0,0,0,TWSE
2025-12-09,1522,堤維西,listed,35,123,7147,-88,0,6,52,-6,0,TWSE
2025-12-09,1524,耿鼎,listed,52,161,6253,-112,1,0,20,1,0,TWSE
2025-12-09,1525,江申,listed,0,0,229,0,0,0,0,0,0,TWSE
2025-12-09,1526,日馳,listed,1,4,1075,-3,0,0,0,0,0,TWSE
2025-12-09,1527,鑽全,listed,12,0,470,7,0,0,0,0,0,TWSE
2025-12-09,1528,恩德,listed,50,57,8303,-7,0,1,48,-1,0,TWSE
2025-12-09,1529,樂事綠能,listed,15,11,3130,1,0,0,1,-18,0,TWSE
2025-12-09,1530,亞崴,listed,1,0,93,1,0,0,0,0,0,TWSE
2025-12-09,1531,高林股,listed,18,0,1960,18,0,0,0,0,0,TWSE
2025-12-09,1532,勤美,listed,11,20,3549,-10,0,1,38,-1,0,TWSE
2025-12-09,1533,車王電,listed,39,38,722,1,0,0,0,0,1,TWSE
2025-12-09,1535,中宇,listed,0,0,54,0,0,0,0,0,0,TWSE
2025-12-09,1536,和大,listed,467,253,9068,197,7,0,3347,7,1,TWSE
2025-12-09,1537,廣隆,listed,0,0,52,0,0,0,0,0,0,TWSE
2025-12-09,1538,正峰,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-12-09,1539,巨庭,listed,5,2,1534,3,0,0,0,0,0,TWSE
2025-12-09,1540,喬福,listed,43,111,2626,-68,0,10,10,-10,0,TWSE
2025-12-09,1541,錩泰,listed,0,0,112,0,0,0,0,0,0,TWSE
2025-12-09,1558,伸興,listed,2,0,446,2,0,0,0,0,0,TWSE
2025-12-09,1560,中砂,listed,529,592,3310,-63,0,74,220,-74,9,TWSE
2025-12-09,1563,巧新,listed,10,0,507,10,2,0,12,2,0,TWSE
2025-12-09,1568,倉佑,listed,10,10,1158,0,0,0,0,0,0,TWSE
2025-12-09,1582,信錦,listed,10,12,2873,-2,0,2,49,-2,0,TWSE
2025-12-09,1583,程泰,listed,6,0,54,6,0,0,2,0,0,TWSE
2025-12-09,1587,吉茂,listed,115,166,3241,-53,1,16,81,-15,0,TWSE
2025-12-09,1589,永冠-KY,listed,27,29,4433,-2,0,0,31,0,0,TWSE
2025-12-09,1590,亞德客-KY,listed,0,11,195,-11,0,0,2,0,0,TWSE
2025-12-09,1597,直得,listed,6,8,3101,-2,0,0,16,0,0,TWSE
2025-12-09,1598,岱宇,listed,12,2,2236,10,0,0,1,0,0,TWSE
2025-12-09,1603,華電,listed,7,22,2276,-15,0,0,6,0,0,TWSE
2025-12-09,1604,聲寶,listed,0,0,363,0,0,0,0,0,0,TWSE
2025-12-09,1605,華新,listed,1918,3445,61577,-1528,7,32,1411,-25,16,TWSE
2025-12-09,1608,華榮,listed,316,650,12444,-348,2,60,125,-58,0,TWSE
2025-12-09,1609,大亞,listed,99,155,16747,-69,4,10,55,-6,0,TWSE
2025-12-09,1611,中電,listed,7,0,3581,7,1,0,23,1,0,TWSE
2025-12-09,1612,宏泰,listed,13,23,2033,-12,0,0,6,0,0,TWSE
2025-12-09,1614,三洋電,listed,0,0,401,0,0,0,3,0,0,TWSE
2025-12-09,1615,大山,listed,1,6,213,-5,0,0,0,0,0,TWSE
2025-12-09,1616,億泰,listed,10,79,4231,-69,5,7,64,-2,8,TWSE
2025-12-09,1617,榮星,listed,1,0,2232,1,0,0,0,0,0,TWSE
2025-12-09,1618,合機,listed,10,112,5098,-163,0,0,10,0,0,TWSE
2025-12-09,1626,艾美特-KY,listed,0,1,3341,-1,0,0,0,0,0,TWSE
2025-12-09,1702,南僑,listed,1,1,420,0,0,0,6,0,0,TWSE
2025-12-09,1707,葡萄王,listed,0,3,350,-3,0,0,0,0,0,TWSE
2025-12-09,1708,東鹼,listed,4,150,2898,-146,0,2,17,-2,0,TWSE
2025-12-09,1709,和益,listed,77,1,2405,76,0,0,0,0,0,TWSE
2025-12-09,1710,東聯,listed,23,122,4331,-99,0,0,75,0,0,TWSE
