date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-02-11,2409,友達,listed,225367836,101428740,123939096,63000,0,63000,9671530,2171245,7500285,131502381,TWSE
2026-02-11,0056,元大高股息,listed,16455218,5868169,10587049,0,0,0,83281318,677146,82604172,93191221,TWSE
2026-02-11,00919,群益台灣精選高息,listed,40701435,5385922,35315513,0,0,0,31830259,730123,31100136,66415649,TWSE
2026-02-11,1303,南亞,listed,82317653,21379078,60938575,2133000,1481000,652000,2664567,898495,1766072,63356647,TWSE
2026-02-11,00940,元大台灣價值高息,listed,17781470,495300,17286170,0,0,0,43437846,2429000,41008846,58295016,TWSE
2026-02-11,00878,國泰永續高股息,listed,26412943,662385,25750558,0,0,0,34498095,2019826,32478269,58228827,TWSE
2026-02-11,2337,旺宏,listed,98197069,41117726,57079343,660000,1123000,-463000,4401161,3052863,1348298,57964641,TWSE
2026-02-11,00993A,主動安聯台灣,listed,18780200,300000,18480200,0,0,0,37532000,2397225,35134775,53614975,TWSE
2026-02-11,3481,群創,listed,118355168,67853252,50501916,77000,203000,-126000,3367250,2791310,575940,50951856,TWSE
2026-02-11,00680L,元大美債20正2,listed,2839000,122000,2717000,0,0,0,46920189,4041000,42879189,45596189,TWSE
2026-02-11,009817,國泰日本不動產,listed,42536000,0,42536000,0,0,0,14521496,11984547,2536949,45072949,TWSE
2026-02-11,2883,凱基金,listed,55424490,12367424,43057066,918000,493000,425000,1210724,3934331,-2723607,40758459,TWSE
2026-02-11,2002,中鋼,listed,42218173,5021777,37196396,0,43000,-43000,1309089,291000,1018089,38171485,TWSE
2026-02-11,2317,鴻海,listed,44333353,13012876,31320477,2011000,227000,1784000,1626995,1286963,340032,33444509,TWSE
2026-02-11,2303,聯電,listed,54933746,14613299,40320447,1508600,5355000,-3846400,977920,4191561,-3213641,33260406,TWSE
2026-02-11,00881,國泰台灣科技龍頭,listed,20708050,1307300,19400750,0,0,0,14270913,2945103,11325810,30726560,TWSE
2026-02-11,2887,台新新光金,listed,50407548,22340781,28066767,965000,2033000,-1068000,1462030,4782288,-3320258,23678509,TWSE
2026-02-11,00688L,國泰20年美債正2,listed,188000,0,188000,0,0,0,23384677,151000,23233677,23421677,TWSE
2026-02-11,2867,三商壽,listed,24228000,4463000,19765000,0,0,0,2224915,0,2224915,21989915,TWSE
2026-02-11,2344,華邦電,listed,61146530,41172454,19974076,355000,857000,-502000,1059831,1872025,-812194,18659882,TWSE
2026-02-11,2884,玉山金,listed,26538750,6088990,20449760,593000,904000,-311000,997850,2883000,-1885150,18253610,TWSE
2026-02-11,2890,永豐金,listed,35378031,16092360,19285671,706000,779000,-73000,1346817,3413817,-2067000,17145671,TWSE
2026-02-11,00918,大華優利高填息30,listed,9227000,1000,9226000,0,0,0,8011005,469746,7541259,16767259,TWSE
2026-02-11,2882,國泰金,listed,25348727,7968944,17379783,762000,1842000,-1080000,831507,761090,70417,16370200,TWSE
2026-02-11,00713,元大台灣高息低波,listed,4131474,178529,3952945,0,0,0,12340198,189000,12151198,16104143,TWSE
2026-02-11,00991A,主動復華未來50,listed,18338000,910000,17428000,0,0,0,9320039,11498433,-2178394,15249606,TWSE
2026-02-11,00929,復華台灣科技優息,listed,12628150,6177248,6450902,0,0,0,10647562,3168154,7479408,13930310,TWSE
2026-02-11,00939,統一台灣高息動能,listed,4720000,98000,4622000,0,0,0,10287617,1387507,8900110,13522110,TWSE
2026-02-11,2408,南亞科,listed,34802411,20531271,14271140,246000,1480001,-1234001,829001,909473,-80472,12956667,TWSE
2026-02-11,00900,富邦特選高股息30,listed,5127000,272000,4855000,0,0,0,7666843,1863,7664980,12519980,TWSE
2026-02-11,00992A,主動群益科技創新,listed,9730000,539000,9191000,0,0,0,9106095,6060721,3045374,12236374,TWSE
2026-02-11,2886,兆豐金,listed,21803717,9141651,12662066,380000,678000,-298000,938923,2353000,-1414077,10949989,TWSE
2026-02-11,00982A,主動群益台灣強棒,listed,8016095,1217000,6799095,0,0,0,7157960,3428704,3729256,10528351,TWSE
2026-02-11,5880,合庫金,listed,16819329,7620048,9199281,623000,62000,561000,919385,179012,740373,10500654,TWSE
2026-02-11,1301,台塑,listed,14558861,4819332,9739529,0,11000,-11000,1011487,623010,388477,10117006,TWSE
2026-02-11,038882,仁寶元大54購02,listed,5000,0,5000,0,0,0,9900000,15000,9885000,9890000,TWSE
2026-02-11,2892,第一金,listed,17123433,8924107,8199326,644000,64000,580000,880147,95000,785147,9564473,TWSE
2026-02-11,00882,中信中國高股息,listed,2240000,118000,2122000,0,0,0,7379920,390029,6989891,9111891,TWSE
2026-02-11,2610,華航,listed,24122819,15129563,8993256,0,836000,-836000,1881546,968376,913170,9070426,TWSE
2026-02-11,1326,台化,listed,21680079,13250162,8429917,0,0,0,1638688,1157940,480748,8910665,TWSE
2026-02-11,00915,凱基優選高股息30,listed,1614000,2195,1611805,0,0,0,8153402,1259150,6894252,8506057,TWSE
2026-02-11,00665L,富邦恒生國企正2,listed,2612000,192000,2420000,0,0,0,10296939,4707198,5589741,8009741,TWSE
2026-02-11,2301,光寶科,listed,19913740,11657835,8255905,246000,66000,180000,782683,1372316,-589633,7846272,TWSE
2026-02-11,2881,富邦金,listed,12810998,4235112,8575886,406000,1298000,-892000,764484,710799,53685,7737571,TWSE
2026-02-11,2801,彰銀,listed,11546343,4938285,6608058,0,27000,-27000,937000,106000,831000,7412058,TWSE
2026-02-11,2313,華通,listed,28816563,23672522,5144041,2150000,34000,2116000,1047516,953448,94068,7354109,TWSE
2026-02-11,2618,長榮航,listed,20815261,9393705,11421556,0,1957000,-1957000,377000,2646658,-2269658,7194898,TWSE
2026-02-11,3189,景碩,listed,14003531,7202355,6801176,316000,0,316000,551669,748358,-196689,6920487,TWSE
2026-02-11,1101,台泥,listed,14218008,7673092,6544916,0,11000,-11000,478057,208000,270057,6803973,TWSE
2026-02-11,6213,聯茂,listed,10163010,3438170,6724840,0,0,0,254839,187032,67807,6792647,TWSE
2026-02-11,2897,王道銀行,listed,8433000,2235000,6198000,0,0,0,523000,0,523000,6721000,TWSE
2026-02-11,1314,中石化,listed,7043964,841000,6202964,0,0,0,370000,193122,176878,6379842,TWSE
2026-02-11,2208,台船,listed,7578728,1260060,6318668,0,0,0,57000,0,57000,6375668,TWSE
2026-02-11,2880,華南金,listed,16021507,7586784,8434723,644000,277000,367000,785149,3239000,-2453851,6347872,TWSE
2026-02-11,032274,鴻海元大54購14,listed,0,0,0,0,0,0,6284000,164000,6120000,6120000,TWSE
2026-02-11,2356,英業達,listed,11159075,4639265,6519810,27000,93000,-66000,718081,1316627,-598546,5855264,TWSE
2026-02-11,00738U,期元大道瓊白銀,listed,2455023,247050,2207973,0,0,0,6368854,2879010,3489844,5697817,TWSE
2026-02-11,043743,緯創群益55購04,listed,0,0,0,0,0,0,5659000,11000,5648000,5648000,TWSE
2026-02-11,2515,中工,listed,15429000,10200562,5228438,0,0,0,530933,296000,234933,5463371,TWSE
2026-02-11,2889,國票金,listed,7631600,2438312,5193288,0,0,0,246000,0,246000,5439288,TWSE
2026-02-11,00927,群益半導體收益,listed,2197000,253000,1944000,0,0,0,5027000,1584018,3442982,5386982,TWSE
2026-02-11,00642U,期元大S&P石油,listed,13000,252084,-239084,0,0,0,5623149,93218,5529931,5290847,TWSE
2026-02-11,2449,京元電子,listed,10073754,5265291,4808463,766000,223000,543000,699761,871730,-171969,5179494,TWSE
2026-02-11,2382,廣達,listed,10355175,5004323,5350852,115000,73000,42000,276128,640000,-363872,5028980,TWSE
2026-02-11,00753L,中信中國50正2,listed,2092000,1375000,717000,0,0,0,4910328,673590,4236738,4953738,TWSE
2026-02-11,1605,華新,listed,12961787,8421137,4540650,0,7000,-7000,542572,166680,375892,4909542,TWSE
2026-02-11,1402,遠東新,listed,11300028,3981436,7318592,0,2822000,-2822000,352000,140000,212000,4708592,TWSE
2026-02-11,00715L,期街口布蘭特正2,listed,135000,804000,-669000,0,0,0,5875847,534775,5341072,4672072,TWSE
2026-02-11,2834,臺企銀,listed,9730558,6122693,3607865,0,23000,-23000,912000,22000,890000,4474865,TWSE
2026-02-11,045034,東元元富55購01,listed,0,0,0,0,0,0,4416000,26000,4390000,4390000,TWSE
2026-02-11,00922,國泰台灣領袖50,listed,486110,39000,447110,0,0,0,6408151,2508283,3899868,4346978,TWSE
2026-02-11,3036,文曄,listed,8430449,3891504,4538945,186000,327000,-141000,329556,457293,-127737,4270208,TWSE
2026-02-11,6116,彩晶,listed,9824000,6199000,3625000,0,0,0,560889,55000,505889,4130889,TWSE
2026-02-11,3711,日月光投控,listed,15267118,11390784,3876334,438000,86000,352000,530017,755590,-225573,4002761,TWSE
2026-02-11,00947,台新臺灣IC設計,listed,4065000,622000,3443000,0,0,0,1190960,650878,540082,3983082,TWSE
2026-02-11,2436,偉詮電,listed,7282000,3370000,3912000,0,0,0,97408,74890,22518,3934518,TWSE
2026-02-11,2609,陽明,listed,5833080,2188008,3645072,0,16000,-16000,348000,64739,283261,3912333,TWSE
2026-02-11,009802,富邦旗艦50,listed,1404000,127000,1277000,0,0,0,2526241,192426,2333815,3610815,TWSE
2026-02-11,2855,統一證,listed,3413000,787000,2626000,828000,1000,827000,0,0,0,3453000,TWSE
2026-02-11,00987A,主動台新優勢成長,listed,3005000,30000,2975000,0,0,0,2008249,1552559,455690,3430690,TWSE
2026-02-11,5871,中租-KY,listed,5199530,1723682,3475848,0,192000,-192000,121019,80850,40169,3324017,TWSE
2026-02-11,00930,永豐ESG低碳高息,listed,1249000,0,1249000,0,0,0,2962635,888467,2074168,3323168,TWSE
2026-02-11,050199,金像電群益57購03,listed,0,0,0,0,0,0,3533000,262000,3271000,3271000,TWSE
2026-02-11,032879,鴻海凱基53購14,listed,0,0,0,0,0,0,3306000,110000,3196000,3196000,TWSE
2026-02-11,9907,統一實,listed,3706000,667151,3038849,0,0,0,102043,0,102043,3140892,TWSE
2026-02-11,3033,威健,listed,3592000,247000,3345000,0,2000,-2000,31609,245781,-214172,3128828,TWSE
2026-02-11,1409,新纖,listed,3569000,523000,3046000,0,1000,-1000,170000,106000,64000,3109000,TWSE
2026-02-11,2485,兆赫,listed,7074552,4447300,2627252,0,0,0,661748,211202,450546,3077798,TWSE
2026-02-11,2412,中華電,listed,7746891,4733840,3013051,163000,514000,-351000,413176,9000,404176,3066227,TWSE
2026-02-11,041322,聯發科元富57購03,listed,0,0,0,0,0,0,3031000,0,3031000,3031000,TWSE
2026-02-11,2323,中環,listed,4986000,2086000,2900000,0,0,0,94089,16000,78089,2978089,TWSE
2026-02-11,2845,遠東銀,listed,7152007,4629214,2522793,0,14000,-14000,438000,0,438000,2946793,TWSE
2026-02-11,2542,興富發,listed,4227308,1937400,2289908,625000,61000,564000,222159,148942,73217,2927125,TWSE
2026-02-11,2812,台中銀,listed,7085548,4641502,2444046,0,14000,-14000,471000,0,471000,2901046,TWSE
2026-02-11,6505,台塑化,listed,3636785,1508000,2128785,0,3000,-3000,658605,86290,572315,2698100,TWSE
2026-02-11,049167,緯創群益56購05,listed,0,0,0,0,0,0,2672000,0,2672000,2672000,TWSE
2026-02-11,00936,台新永續高息中小,listed,1307000,2100,1304900,0,0,0,1505227,146951,1358276,2663176,TWSE
2026-02-11,2204,中華,listed,3122787,489000,2633787,0,3000,-3000,46017,30000,16017,2646804,TWSE
2026-02-11,036574,達邁元大58購01,listed,0,0,0,0,0,0,3009000,366000,2643000,2643000,TWSE
2026-02-11,6005,群益證,listed,4482087,1907000,2575087,0,11000,-11000,0,0,0,2564087,TWSE
