date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2025-10-29,0050,元大台灣50,listed,63.7,64.45,63.7,64.4,1.05,1.6575,67414369,4326680379,50482,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0051,元大中型100,listed,90.65,91.45,90.65,91.3,0.9,0.9956,46848,4270442,277,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0052,富邦科技,listed,256.7,260.25,256.7,260.0,5.75,2.2616,3263907,844555258,3840,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0053,元大電子,listed,141.8,142.3,141.4,142.3,2.55,1.8247,28494,4043109,165,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0055,元大MSCI金融,listed,30.75,30.84,30.59,30.64,-0.09,-0.2929,299540,9179824,407,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0056,元大高股息,listed,37.33,37.59,37.33,37.47,0.34,0.9157,91187427,3419601243,24364,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0057,富邦摩台,listed,187.1,188.1,186.6,187.9,2.9,1.5676,6044,1132973,30,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,0061,元大寶滬深,listed,22.6,22.6,22.07,22.53,-0.03,-0.133,891033,20016447,237,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2025-10-29,006203,元大MSCI台灣,listed,116.3,116.75,116.3,116.75,1.8,1.5659,4624,536977,139,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-10-29,006204,永豐臺灣加權,listed,141.7,142.2,141.65,142.0,1.7,1.2117,8961,1271588,140,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-10-29,006205,富邦上証,listed,38.6,38.61,38.47,38.61,0.01,0.0259,307823,11870292,234,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-10-29,006206,元大上證50,listed,35.6,35.6,35.42,35.44,-0.17,-0.4774,110460,3918240,105,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-10-29,006207,復華滬深,listed,29.76,29.79,29.72,29.79,0.01,0.0336,461270,13721727,109,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
