date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source
2026-06-05,700310,中光電群益58購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700330,旺矽凱基5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700342,大世科統一6A購02,otc,0.28,0.28,0.28,0.28,0.0,0.0,2000,560,1,TPEx
2026-06-05,700343,中光電統一6A購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700344,尼克森統一5A購01,otc,1.28,1.28,1.25,1.25,0.04,3.3058,15000,18930,2,TPEx
2026-06-05,700345,立碁統一6A購01,otc,0.44,0.44,0.44,0.44,0.01,2.3256,3000,1320,1,TPEx
2026-06-05,700346,良維統一6A購01,otc,1.74,1.74,1.74,1.74,0.1,6.0976,9000,15660,1,TPEx
2026-06-05,700347,尚凡*統一5A購01,otc,0.11,0.11,0.11,0.11,-0.01,-8.3333,100000,11000,2,TPEx
2026-06-05,700348,昱展統一6A購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700350,茂達統一61購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700351,竑騰統一5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700352,新鉅科統一5A購01,otc,0.2,0.2,0.19,0.19,0.02,11.7647,287000,56550,4,TPEx
2026-06-05,700353,新鉅科統一6A購02,otc,0.37,0.37,0.37,0.37,0.02,5.7143,1000,370,1,TPEx
2026-06-05,700354,聖暉*統一6A購01,otc,1.01,1.13,1.01,1.09,0.11,11.2245,96000,100680,3,TPEx
2026-06-05,700355,撼訊統一6A購01,otc,0.32,0.32,0.32,0.32,0.0,0.0,250000,80000,3,TPEx
2026-06-05,700356,擎亞統一6A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700357,聰泰統一6A購01,otc,0.46,0.46,0.46,0.46,0.01,2.2222,20000,9200,1,TPEx
2026-06-05,700358,寶島科統一64購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700359,鏵友益統一5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700360,鑫聯統一5A購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700361,中光電元大57購04,otc,,,,,,,0,0,0,TPEx
2026-06-05,700366,宜鼎元大57購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700367,昇達科元大57購04,otc,9.3,9.3,9.3,9.3,-1.3,-12.2642,50000,465000,1,TPEx
2026-06-05,700383,光焱中信57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700385,中光電元富5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700395,中光電凱基57購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700397,系微凱基57購01,otc,0.32,0.41,0.32,0.41,0.12,41.3793,23000,8560,3,TPEx
2026-06-05,700402,博智凱基59購01,otc,8.2,9.5,8.2,8.7,1.25,16.7785,109000,977950,14,TPEx
2026-06-05,700410,中光電統一5C購01,otc,0.07,0.07,0.07,0.07,0.0,0.0,10000,700,1,TPEx
2026-06-05,700412,旺矽統一6A購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700413,金山電統一5C購01,otc,11.9,11.9,11.9,11.9,1.5,14.4231,5000,59500,2,TPEx
2026-06-05,700414,長聖統一6A購02,otc,0.52,0.52,0.52,0.52,0.01,1.9608,9000,4680,1,TPEx
2026-06-05,700415,建榮統一6A購02,otc,1.1,1.1,0.96,1.09,0.08,7.9208,57000,60300,4,TPEx
2026-06-05,700416,高技統一5A購01,otc,0.37,0.38,0.35,0.37,0.02,5.7143,62000,23090,10,TPEx
2026-06-05,700417,聰泰統一6A購02,otc,0.57,0.57,0.56,0.56,-0.01,-1.7544,4000,2260,2,TPEx
2026-06-05,700418,力旺元大58購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700419,力旺元大59購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700421,宜鼎元大58購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700439,力旺元富57購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700451,臺慶科國票5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700456,訊聯永豐57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700467,雙鴻永豐57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700469,中光電凱基59購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700481,宜鼎元大58購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700482,昇達科元大59購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700499,良維凱基57購04,otc,,,,,,,0,0,0,TPEx
2026-06-05,700515,亞信永豐57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700522,宜鼎元大59購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700534,良維凱基58購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700542,雙鴻凱基59購03,otc,,,,,,,0,0,0,TPEx
2026-06-05,700545,華星光永豐57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700546,聖暉*永豐57購01,otc,0.96,1.45,0.96,1.4,0.44,45.8333,135000,193880,11,TPEx
2026-06-05,700552,台燿富邦57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700556,良維富邦57購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700557,宜鼎富邦57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700569,台燿元大57購03,otc,,,,,,,0,0,0,TPEx
2026-06-05,700571,宜鼎元大59購03,otc,,,,,,,0,0,0,TPEx
2026-06-05,700576,鈊象元大57購01,otc,0.34,0.34,0.34,0.34,-0.11,-24.4444,80000,27200,2,TPEx
2026-06-05,700580,宜鼎兆豐5A購01,otc,22.8,23.5,22.8,23.5,1.8,8.2949,30000,685100,4,TPEx
2026-06-05,700582,弘塑國票59購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700585,神盾國票58購01,otc,0.28,0.28,0.28,0.28,-0.02,-6.6667,1000,280,1,TPEx
2026-06-05,700590,台燿元大57購04,otc,,,,,,,0,0,0,TPEx
2026-06-05,700594,原相元大5A購01,otc,0.88,0.88,0.83,0.83,0.0,0.0,310000,265130,18,TPEx
2026-06-05,700595,華星光元大59購01,otc,5.3,5.3,5.3,5.3,0.0,0.0,1000,5300,1,TPEx
2026-06-05,700607,宜鼎凱基59購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700608,昇達科凱基59購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700613,緯軟凱基57購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700635,弘塑元大57購02,otc,,,,,,,0,0,0,TPEx
2026-06-05,700638,原相元大5A購02,otc,0.53,0.53,0.5,0.5,-0.02,-3.8462,423000,216680,15,TPEx
2026-06-05,700670,中光電統一6A購03,otc,0.14,0.14,0.14,0.14,-0.01,-6.6667,10000,1400,2,TPEx
2026-06-05,700671,正德統一5A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700672,旺矽統一5A購01,otc,9.3,9.3,9.3,9.3,0.55,6.2857,10000,93000,1,TPEx
2026-06-05,700673,信昌電統一6A購01,otc,5.95,5.95,5.95,5.95,0.75,14.4231,1000,5950,1,TPEx
2026-06-05,700674,信昌電統一6A購02,otc,7.3,7.3,7.3,7.3,0.8,12.3077,1000,7300,1,TPEx
2026-06-05,700675,高技統一5A購02,otc,0.52,0.52,0.52,0.52,0.03,6.1224,1000,520,1,TPEx
2026-06-05,700676,高技統一6A購01,otc,0.4,0.4,0.4,0.4,0.03,8.1081,4000,1600,2,TPEx
2026-06-05,700677,高技統一6A購02,otc,0.53,0.53,0.53,0.53,-0.08,-13.1148,1000,530,1,TPEx
2026-06-05,700678,智通*統一6A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700679,智擎統一6A購01,otc,,,,,,,0,0,0,TPEx
2026-06-05,700680,華星光統一58購03,otc,,,,,,,0,0,0,TPEx
2026-06-05,700681,鈊象統一6A購01,otc,0.41,0.45,0.41,0.44,0.01,2.3256,22000,9320,5,TPEx
2026-06-05,700682,萬潤統一6A購02,otc,3.53,3.53,3.48,3.48,0.26,8.0745,20000,70100,2,TPEx
2026-06-05,700683,雍智統一6A購01,otc,4.37,4.92,4.31,4.75,0.14,3.0369,110000,488780,15,TPEx
2026-06-05,700684,雍智統一6A購02,otc,5.45,5.6,5.45,5.6,0.69,14.053,17000,95000,7,TPEx
2026-06-05,700685,臺慶科統一5A購01,otc,2.02,2.03,2.02,2.03,0.22,12.1547,4000,8090,2,TPEx
