date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-04-15,1101,台泥,listed,1635,2622,29318,-990,8,40,117,-32,0,TWSE
2026-04-15,1102,亞泥,listed,65,14,1496,51,0,0,0,0,0,TWSE
2026-04-15,1103,嘉泥,listed,0,0,3787,0,0,0,0,0,0,TWSE
2026-04-15,1104,環泥,listed,10,9,974,1,0,0,0,0,0,TWSE
2026-04-15,1108,幸福,listed,0,14,1047,-14,0,0,0,0,0,TWSE
2026-04-15,1109,信大,listed,3,4,485,-1,0,0,0,0,0,TWSE
2026-04-15,1110,東泥,listed,0,24,2725,-24,0,0,0,0,0,TWSE
2026-04-15,1201,味全,listed,0,5,1454,-5,0,0,33,0,0,TWSE
2026-04-15,1203,味王,listed,0,0,11,0,0,0,0,0,0,TWSE
2026-04-15,1210,大成,listed,622,43,1558,579,9,0,26,9,0,TWSE
2026-04-15,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1215,卜蜂,listed,64,0,628,64,0,0,0,0,0,TWSE
2026-04-15,1216,統一,listed,10,99,1071,-89,1,0,27,1,0,TWSE
2026-04-15,1217,愛之味,listed,11,2,2089,9,0,0,0,0,0,TWSE
2026-04-15,1218,泰山,listed,32,18,1656,14,0,0,0,0,2,TWSE
2026-04-15,1219,福壽,listed,136,3,686,133,0,0,0,0,0,TWSE
2026-04-15,1220,台榮,listed,35,1,1084,34,0,0,0,0,0,TWSE
2026-04-15,1225,福懋油,listed,3,1,4657,2,0,0,0,0,0,TWSE
2026-04-15,1227,佳格,listed,2,9,1280,-7,0,0,0,0,0,TWSE
2026-04-15,1229,聯華,listed,38,58,2457,-20,2,0,2,2,0,TWSE
2026-04-15,1231,聯華食,listed,3,0,261,3,0,0,1,0,0,TWSE
2026-04-15,1232,大統益,listed,0,0,5,0,0,0,0,0,0,TWSE
2026-04-15,1233,天仁,listed,0,0,61,0,0,0,0,0,0,TWSE
2026-04-15,1234,黑松,listed,0,0,21,0,0,0,0,0,0,TWSE
2026-04-15,1235,興泰,listed,101,99,831,2,0,0,0,0,0,TWSE
2026-04-15,1236,宏亞,listed,12,7,160,5,0,0,0,0,0,TWSE
2026-04-15,1256,鮮活果汁-KY,listed,8,4,312,4,0,0,0,0,0,TWSE
2026-04-15,1301,台塑,listed,1490,1500,16708,-17,60,95,572,-35,24,TWSE
2026-04-15,1303,南亞,listed,3814,11024,44783,-7215,302,263,3360,39,153,TWSE
2026-04-15,1304,台聚,listed,1411,1921,14007,-514,67,352,383,-285,11,TWSE
2026-04-15,1305,華夏,listed,304,619,8202,-315,329,20,773,309,1,TWSE
2026-04-15,1307,三芳,listed,19,70,2056,-51,4,3,34,1,0,TWSE
2026-04-15,1308,亞聚,listed,460,772,9116,-312,7,157,165,-150,106,TWSE
2026-04-15,1309,台達化,listed,1370,1549,11028,-179,420,81,1702,339,19,TWSE
2026-04-15,1310,台苯,listed,866,1015,13329,-149,10,11,83,-1,2,TWSE
2026-04-15,1312,國喬,listed,2176,2758,14191,-582,8,158,165,-150,50,TWSE
2026-04-15,1313,聯成,listed,479,265,11547,214,2,46,41,-44,12,TWSE
2026-04-15,1314,中石化,listed,833,1079,46815,-246,10,421,71,-411,7,TWSE
2026-04-15,1315,達新,listed,0,0,85,0,0,0,0,0,0,TWSE
2026-04-15,1316,上曜,listed,110,28,11125,55,0,0,13,0,0,TWSE
2026-04-15,1319,東陽,listed,104,107,5403,-3,0,0,0,0,0,TWSE
2026-04-15,1321,大洋,listed,26,43,7561,-17,0,0,0,0,0,TWSE
2026-04-15,1323,永裕,listed,33,2,165,31,0,0,1,0,0,TWSE
2026-04-15,1324,地球,listed,8,6,1813,2,0,0,0,0,0,TWSE
2026-04-15,1325,恆大,listed,25,34,2447,-9,2,0,22,2,0,TWSE
2026-04-15,1326,台化,listed,5022,1624,16786,3237,21,424,205,-406,68,TWSE
2026-04-15,1337,再生-KY,listed,87,195,21121,-108,0,0,0,0,0,TWSE
2026-04-15,1338,廣華-KY,listed,5,2,2061,3,0,0,6,0,0,TWSE
2026-04-15,1339,昭輝,listed,4,0,564,4,0,0,0,0,0,TWSE
2026-04-15,1340,勝悅-KY,listed,2,0,954,2,15,0,15,15,0,TWSE
2026-04-15,1342,八貫,listed,9,3,450,6,0,0,0,0,0,TWSE
2026-04-15,1402,遠東新,listed,299,325,11019,-26,0,0,3,0,0,TWSE
2026-04-15,1409,新纖,listed,492,501,11177,-9,1,14,24,-13,1,TWSE
2026-04-15,1410,南染,listed,0,0,312,0,0,0,0,0,0,TWSE
2026-04-15,1413,宏洲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1414,東和,listed,19,58,921,-39,0,0,0,0,0,TWSE
2026-04-15,1416,廣豐,listed,14,24,3848,-10,0,0,0,0,0,TWSE
2026-04-15,1417,嘉裕,listed,18,0,1389,18,0,1,2,-1,0,TWSE
2026-04-15,1418,東華,listed,0,0,728,0,0,0,0,0,0,TWSE
2026-04-15,1419,新紡,listed,5,5,1276,0,0,0,0,0,0,TWSE
2026-04-15,1423,利華,listed,1,1,111,0,0,0,0,0,0,TWSE
2026-04-15,1432,大魯閣,listed,3,0,33,3,0,0,0,0,0,TWSE
2026-04-15,1434,福懋,listed,86,27,2776,59,0,0,0,0,0,TWSE
2026-04-15,1435,中福,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1436,華友聯,listed,3,8,927,-5,0,0,1,0,0,TWSE
2026-04-15,1437,勤益控,listed,2,16,2051,-14,0,0,0,0,0,TWSE
2026-04-15,1438,三地開發,listed,0,0,111,0,0,0,0,0,0,TWSE
2026-04-15,1439,雋揚,listed,0,0,1186,0,0,0,0,0,0,TWSE
2026-04-15,1440,南紡,listed,120,90,4189,30,0,0,0,0,0,TWSE
2026-04-15,1441,大東,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1442,名軒,listed,52,38,2048,14,3,0,3,3,0,TWSE
2026-04-15,1443,立益物流,listed,1,5,28,-4,0,0,0,0,0,TWSE
2026-04-15,1444,力麗,listed,0,1,1269,-1,0,0,0,0,0,TWSE
2026-04-15,1445,大宇,listed,1,1,1318,0,0,0,8,0,0,TWSE
2026-04-15,1446,宏和,listed,1,24,2370,-23,0,0,0,0,0,TWSE
2026-04-15,1447,力鵬,listed,0,100,3027,-100,0,0,0,0,0,TWSE
2026-04-15,1449,佳和,listed,382,95,4479,194,0,2,27,-2,5,TWSE
2026-04-15,1451,年興,listed,3,0,686,3,0,0,0,0,0,TWSE
2026-04-15,1452,宏益,listed,0,0,115,-1,0,0,0,0,0,TWSE
2026-04-15,1453,大將,listed,25,29,1311,-4,0,0,0,0,0,TWSE
2026-04-15,1454,台富,listed,0,0,1690,0,0,0,0,0,0,TWSE
2026-04-15,1455,集盛,listed,15,224,3070,-209,5,0,5,5,0,TWSE
2026-04-15,1456,怡華,listed,5,2,348,3,0,0,0,0,0,TWSE
2026-04-15,1457,宜進,listed,0,3,470,-3,0,0,0,0,0,TWSE
2026-04-15,1459,聯發,listed,0,2,456,-2,0,0,0,0,0,TWSE
2026-04-15,1460,宏遠,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1463,強盛新,listed,0,0,240,-2,0,0,0,0,0,TWSE
2026-04-15,1464,得力,listed,7,0,1636,7,0,0,0,0,0,TWSE
2026-04-15,1465,偉全,listed,49,66,3398,-34,0,0,0,0,0,TWSE
2026-04-15,1466,聚隆,listed,23,21,4643,2,0,0,0,0,0,TWSE
2026-04-15,1467,南緯,listed,9,0,4498,9,0,0,0,0,0,TWSE
2026-04-15,1468,昶和,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1470,大統新創,listed,0,0,6,0,0,0,0,0,0,TWSE
2026-04-15,1471,首利,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1472,三洋實業,listed,0,2,4202,-2,0,0,0,0,0,TWSE
2026-04-15,1473,台南,listed,0,4,913,-4,0,0,6,0,0,TWSE
2026-04-15,1474,弘裕,listed,10,0,3377,10,0,0,0,0,0,TWSE
2026-04-15,1475,業旺,listed,3,26,441,-23,0,0,0,0,0,TWSE
2026-04-15,1476,儒鴻,listed,17,13,653,4,0,0,3,0,0,TWSE
2026-04-15,1477,聚陽,listed,39,12,567,18,0,0,6,0,0,TWSE
2026-04-15,1503,士電,listed,127,65,2648,52,0,0,0,0,0,TWSE
2026-04-15,1504,東元,listed,774,637,24323,137,6,4,100,2,3,TWSE
2026-04-15,1506,正道,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1512,瑞利,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1513,中興電,listed,235,120,7905,102,1,0,10,1,0,TWSE
2026-04-15,1514,亞力,listed,334,230,6476,99,18,0,23,18,7,TWSE
2026-04-15,1515,力山,listed,10,0,1682,10,0,4,1,-4,0,TWSE
2026-04-15,1516,川飛,listed,0,0,18,0,0,0,0,0,0,TWSE
2026-04-15,1517,利奇,listed,9,10,1424,-1,0,0,0,0,0,TWSE
2026-04-15,1519,華城,listed,334,269,2744,65,5,0,6,5,0,TWSE
2026-04-15,1521,大億,listed,0,2,375,-2,0,0,0,0,0,TWSE
2026-04-15,1522,堤維西,listed,58,45,4513,13,0,0,0,0,0,TWSE
2026-04-15,1524,耿鼎,listed,58,187,4640,-131,0,0,0,0,0,TWSE
2026-04-15,1525,江申,listed,0,0,230,0,0,0,0,0,0,TWSE
2026-04-15,1526,日馳,listed,28,8,873,20,0,0,0,0,0,TWSE
2026-04-15,1527,鑽全,listed,4,0,579,3,0,0,0,0,0,TWSE
2026-04-15,1528,恩德,listed,3523,3845,13010,-322,511,31,1579,480,46,TWSE
2026-04-15,1529,樂事綠能,listed,31,53,3424,-22,1,2,8,-1,0,TWSE
2026-04-15,1530,亞崴,listed,8,1,143,7,0,0,0,0,0,TWSE
2026-04-15,1531,高林股,listed,17,9,2172,8,0,0,0,0,0,TWSE
2026-04-15,1532,勤美,listed,50,2,2570,42,0,0,0,0,0,TWSE
2026-04-15,1533,車王電,listed,30,9,703,21,0,0,0,0,0,TWSE
2026-04-15,1535,中宇,listed,4,1,49,3,0,0,0,0,0,TWSE
2026-04-15,1536,和大,listed,132,70,8444,61,291,4,323,287,0,TWSE
2026-04-15,1537,廣隆,listed,0,0,29,0,0,0,0,0,0,TWSE
2026-04-15,1538,正峰,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-04-15,1539,巨庭,listed,4,1,1233,3,0,0,0,0,0,TWSE
2026-04-15,1540,喬福,listed,15,26,2037,-11,0,0,0,0,0,TWSE
2026-04-15,1541,錩泰,listed,25,17,191,8,0,0,0,0,0,TWSE
2026-04-15,1558,伸興,listed,1,0,312,1,0,0,0,0,0,TWSE
2026-04-15,1560,中砂,listed,214,327,1835,-114,8,1,62,-11,0,TWSE
2026-04-15,1563,巧新,listed,99,136,834,-37,0,0,0,0,0,TWSE
2026-04-15,1568,倉佑,listed,37,15,1140,22,0,0,0,0,0,TWSE
2026-04-15,1582,信錦,listed,370,766,6462,-396,21,1,59,20,22,TWSE
