date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source
2026-03-18,0050,元大台灣50,listed,77.75,78.05,77.45,77.8,1.15,1.5003,78000193,6064253100,65062,TWSE
2026-03-18,0051,元大中型100,listed,113.65,113.9,112.7,113.75,2.3,2.0637,89150,10109879,1050,TWSE
2026-03-18,0052,富邦科技,listed,46.42,46.63,46.21,46.45,0.77,1.6856,35483319,1647002749,18887,TWSE
2026-03-18,0053,元大電子,listed,174.0,175.05,173.55,173.85,2.45,1.4294,65150,11348819,256,TWSE
2026-03-18,0055,元大MSCI金融,listed,32.77,32.96,32.65,32.71,0.04,0.1224,107377,3517825,402,TWSE
2026-03-18,0056,元大高股息,listed,39.42,39.58,39.35,39.42,0.29,0.7411,32295100,1273748334,18582,TWSE
2026-03-18,0057,富邦摩台,listed,230.0,230.85,229.6,230.25,2.55,1.1199,24414,5614791,129,TWSE
2026-03-18,0061,元大寶滬深,listed,23.85,23.94,23.54,23.64,-0.21,-0.8805,453966,10731727,193,TWSE
2026-03-18,006203,元大MSCI台灣,listed,141.7,141.8,140.65,141.8,2.45,1.7582,11141,1572347,106,TWSE
2026-03-18,006204,永豐臺灣加權,listed,175.65,175.65,175.6,175.65,2.5,1.4438,11431,2006820,90,TWSE
2026-03-18,006205,富邦上証,listed,40.96,40.96,40.27,40.36,-0.7,-1.7048,1786728,72347491,850,TWSE
2026-03-18,006206,元大上證50,listed,37.3,37.3,37.08,37.14,-0.41,-1.0919,31854,1184522,143,TWSE
2026-03-18,006207,復華滬深,listed,31.59,31.66,31.53,31.59,-0.5,-1.5581,121207,3834363,68,TWSE
2026-03-18,006208,富邦台50,listed,180.75,181.15,179.75,180.5,2.75,1.5471,2987437,539125250,7062,TWSE
2026-03-18,00625K,富邦上証+R,listed,,,,,0.0,,0,0,0,TWSE
2026-03-18,00631L,元大台灣50正2,listed,494.3,497.2,488.0,496.05,16.35,3.4084,6630713,3274587269,13489,TWSE
2026-03-18,00632R,元大台灣50反1,listed,13.78,13.88,13.74,13.75,-0.24,-1.7155,88053241,1213590008,11117,TWSE
2026-03-18,00633L,富邦上証正2,listed,48.2,48.2,46.92,47.09,-1.2,-2.485,2234477,105884003,708,TWSE
2026-03-18,00634R,富邦上証反1,listed,3.23,3.27,3.23,3.27,0.04,1.2384,521896,1694691,24,TWSE
2026-03-18,00635U,期元大S&P黃金,listed,53.0,53.15,52.75,52.8,-0.65,-1.2161,6934830,366899814,7287,TWSE
2026-03-18,00636,國泰中國A50,listed,27.35,27.35,26.9,26.99,-0.36,-1.3163,775095,20966663,603,TWSE
2026-03-18,00636K,國泰中國A50+U,listed,8.55,8.55,8.55,8.55,-0.09,-1.0417,200,1710,2,TWSE
2026-03-18,00637L,元大滬深300正2,listed,19.85,19.86,19.37,19.45,-0.51,-2.5551,37427546,732685705,4635,TWSE
2026-03-18,00638R,元大滬深300反1,listed,6.98,7.05,6.98,7.05,0.1,1.4388,107060,752320,21,TWSE
2026-03-18,00639,富邦深100,listed,15.9,15.9,15.72,15.75,-0.21,-1.3158,650967,10280699,263,TWSE
2026-03-18,00640L,富邦日本正2,listed,88.45,90.25,88.45,90.05,3.35,3.8639,597939,53544419,476,TWSE
2026-03-18,00641R,富邦日本反1,listed,4.2,4.2,4.16,4.17,-0.09,-2.1127,960401,4015866,129,TWSE
2026-03-18,00642U,期元大S&P石油,listed,25.55,25.6,24.97,24.98,-0.67,-2.6121,30138023,762026027,9359,TWSE
2026-03-18,00643,群益深証中小,listed,18.47,18.47,18.19,18.28,-0.23,-1.2426,3076605,56225802,222,TWSE
2026-03-18,00643K,群益深証中小+R,listed,,,,,0.0,,0,0,0,TWSE
2026-03-18,00645,富邦日本,listed,51.35,51.95,51.35,51.8,1.0,1.9685,267490,13841584,332,TWSE
2026-03-18,00646,元大S&P500,listed,67.5,67.55,67.1,67.55,0.45,0.6706,2501911,168433329,2940,TWSE
2026-03-18,00647L,元大S&P500正2,listed,111.05,111.85,111.05,111.8,1.65,1.498,42156,4698143,101,TWSE
2026-03-18,00648R,元大S&P500反1,listed,4.46,4.46,4.45,4.45,-0.04,-0.8909,282306,1257908,61,TWSE
2026-03-18,00650L,復華香港正2,listed,17.8,17.84,17.57,17.78,-0.11,-0.6149,3908980,69179285,690,TWSE
2026-03-18,00651R,復華香港反1,listed,5.22,5.27,5.22,5.25,0.02,0.3824,188890,993010,36,TWSE
2026-03-18,00652,富邦印度,listed,33.73,33.9,33.73,33.89,0.19,0.5638,900747,30485640,829,TWSE
2026-03-18,00653L,富邦印度正2,listed,46.23,46.98,46.23,46.98,0.87,1.8868,417938,19494620,245,TWSE
2026-03-18,00654R,富邦印度反1,listed,6.94,6.97,6.92,6.92,-0.08,-1.1429,74680,518250,18,TWSE
2026-03-18,00655L,國泰中國A50正2,listed,33.37,33.37,32.56,32.63,-0.95,-2.8291,1100011,36240778,361,TWSE
