date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-09-04,8089,康全電訊,otc,12000,51000,-39000,0,0,0,1000,947,53,-38947,TPEx
2026-09-04,8091,翔名,otc,124000,104000,20000,0,0,0,5000,6793,-1793,18207,TPEx
2026-09-04,8092,建暐,otc,0,0,0,0,0,0,361,1000,-639,-639,TPEx
2026-09-04,8093,保銳,otc,0,800,-800,0,0,0,0,99,-99,-899,TPEx
2026-09-04,8096,擎亞,otc,813225,250722,562503,0,0,0,11372,76235,-64863,497640,TPEx
2026-09-04,8097,常珵,otc,27000,2000,25000,0,0,0,0,0,0,25000,TPEx
2026-09-04,8099,大世科,otc,50371,51000,-629,0,0,0,21003,21244,-241,-870,TPEx
2026-09-04,8107,大億金茂,otc,4000,1000,3000,0,0,0,375,0,375,3375,TPEx
2026-09-04,8109,博大,otc,47120,62000,-14880,14000,0,14000,4000,5808,-1808,-2688,TPEx
2026-09-04,8111,立碁,otc,3612602,4259010,-646408,0,0,0,82376,308511,-226135,-872543,TPEx
2026-09-04,8121,越峰,otc,196000,30247,165753,0,0,0,1489,433,1056,166809,TPEx
2026-09-04,8147,正淩,otc,78657,123033,-44376,0,0,0,12515,8243,4272,-40104,TPEx
2026-09-04,8155,博智,otc,132000,213000,-81000,0,0,0,21700,58048,-36348,-117348,TPEx
2026-09-04,8171,天宇,otc,29000,7000,22000,0,0,0,0,0,0,22000,TPEx
2026-09-04,8176,智捷,otc,3000,8000,-5000,0,0,0,1000,708,292,-4708,TPEx
2026-09-04,8182,加高,otc,131150,51000,80150,0,0,0,1754,1414,340,80490,TPEx
2026-09-04,8183,精星,otc,18000,81000,-63000,0,0,0,3004,2537,467,-62533,TPEx
2026-09-04,8227,巨有科技,otc,51018,48080,2938,0,0,0,1446,7448,-6002,-3064,TPEx
2026-09-04,8234,新漢,otc,256092,48000,208092,0,0,0,7471,557,6914,215006,TPEx
2026-09-04,8240,華宏,otc,404000,339000,65000,0,0,0,58793,17776,41017,106017,TPEx
2026-09-04,8255,朋程,otc,80275,74000,6275,0,0,0,8974,11651,-2677,3598,TPEx
2026-09-04,8277,商丞,otc,4000,2000,2000,0,0,0,0,0,0,2000,TPEx
2026-09-04,8279,生展,otc,3000,18000,-15000,0,0,0,1000,605,395,-14605,TPEx
2026-09-04,8284,三竹,otc,1000,2000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,8289,泰藝,otc,121110,60000,61110,0,0,0,1402,1440,-38,61072,TPEx
2026-09-04,8291,尚茂,otc,1000,1000,0,0,0,0,0,0,0,0,TPEx
