date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2025-11-06,1101,台泥,listed,247,275,32140,-30,57,79,292,-23,0,TWSE
2025-11-06,1102,亞泥,listed,15,5,1250,10,0,3,28,-3,0,TWSE
2025-11-06,1103,嘉泥,listed,1,6,3966,-15,0,0,2,0,0,TWSE
2025-11-06,1104,環泥,listed,21,15,2654,6,0,0,7,0,0,TWSE
2025-11-06,1108,幸福,listed,3,2,675,1,0,0,1,0,0,TWSE
2025-11-06,1109,信大,listed,2,1,635,1,0,0,0,0,0,TWSE
2025-11-06,1110,東泥,listed,32,36,3112,-4,0,0,0,0,0,TWSE
2025-11-06,1201,味全,listed,10,17,1212,-7,0,0,0,0,0,TWSE
2025-11-06,1203,味王,listed,0,0,11,0,0,0,0,0,0,TWSE
2025-11-06,1210,大成,listed,28,41,2069,-13,0,0,9,0,0,TWSE
2025-11-06,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-11-06,1215,卜蜂,listed,35,8,551,27,3,0,25,3,0,TWSE
2025-11-06,1216,統一,listed,49,12,1108,37,0,3,48,-3,0,TWSE
2025-11-06,1217,愛之味,listed,2,21,1629,-19,0,0,52,0,0,TWSE
2025-11-06,1218,泰山,listed,2,29,2257,-27,0,0,0,0,0,TWSE
2025-11-06,1219,福壽,listed,11,7,652,4,0,0,0,0,0,TWSE
2025-11-06,1220,台榮,listed,1,0,1023,-5,0,0,0,0,0,TWSE
2025-11-06,1225,福懋油,listed,0,0,4037,0,0,0,1,0,0,TWSE
2025-11-06,1227,佳格,listed,17,16,2115,1,0,0,0,0,0,TWSE
2025-11-06,1229,聯華,listed,52,73,1600,-21,0,0,3,0,0,TWSE
2025-11-06,1231,聯華食,listed,1,1,372,0,0,0,0,0,0,TWSE
2025-11-06,1232,大統益,listed,0,0,9,0,0,0,0,0,0,TWSE
2025-11-06,1233,天仁,listed,0,0,60,0,0,0,0,0,0,TWSE
2025-11-06,1234,黑松,listed,0,0,173,0,0,0,0,0,0,TWSE
2025-11-06,1235,興泰,listed,3,2,1006,1,0,0,0,0,0,TWSE
2025-11-06,1236,宏亞,listed,3,0,124,3,0,0,0,0,0,TWSE
2025-11-06,1256,鮮活果汁-KY,listed,6,2,204,4,0,14,0,-14,0,TWSE
2025-11-06,1301,台塑,listed,783,515,31296,266,9,43,405,-34,2,TWSE
2025-11-06,1303,南亞,listed,1198,714,31934,470,62,227,1131,-165,3,TWSE
2025-11-06,1304,台聚,listed,138,109,6409,9,4,1,8,3,0,TWSE
2025-11-06,1305,華夏,listed,78,117,3781,-39,0,0,1,0,0,TWSE
2025-11-06,1307,三芳,listed,16,192,1676,-176,1,0,3,1,0,TWSE
2025-11-06,1308,亞聚,listed,64,41,3166,23,3,0,13,3,0,TWSE
2025-11-06,1309,台達化,listed,58,20,4272,38,1,3,3,-2,0,TWSE
2025-11-06,1310,台苯,listed,218,105,3328,111,5,1,9,4,1,TWSE
2025-11-06,1312,國喬,listed,327,160,14160,85,0,5,16,-5,1,TWSE
2025-11-06,1313,聯成,listed,105,110,7014,-5,8,2,109,6,2,TWSE
2025-11-06,1314,中石化,listed,12987,6274,53517,6713,1251,233,2828,1018,10,TWSE
2025-11-06,1315,達新,listed,0,0,55,0,0,0,0,0,0,TWSE
2025-11-06,1316,上曜,listed,150,141,14984,-42,0,0,172,0,1,TWSE
2025-11-06,1319,東陽,listed,152,170,4407,-18,11,0,45,11,5,TWSE
2025-11-06,1321,大洋,listed,37,27,6867,10,0,0,0,0,0,TWSE
2025-11-06,1323,永裕,listed,0,1,90,-1,0,0,0,0,0,TWSE
2025-11-06,1324,地球,listed,4,0,1857,4,0,0,0,0,0,TWSE
2025-11-06,1325,恆大,listed,38,28,2312,10,28,2,229,26,0,TWSE
2025-11-06,1326,台化,listed,249,288,22279,-44,40,4,866,36,34,TWSE
2025-11-06,1337,再生-KY,listed,20,11,21162,9,0,0,0,0,0,TWSE
2025-11-06,1338,廣華-KY,listed,14,1,2129,13,0,0,0,0,0,TWSE
