date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2025-06-27,006201,元大富櫃50,otc,20.27,20.32,20.25,20.25,0.05,0.2475,28099,569744,18,TPEx,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-06-27,00679B,元大美債20年,otc,25.14,25.15,24.95,24.95,-0.19,-0.7558,55962109,1399789002,10025,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00687B,國泰20年美債,otc,26.14,26.16,25.91,25.93,-0.22,-0.8413,40566955,1054144164,7280,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00687C,國泰20年美債+櫃U,otc,9.22,9.22,9.19,9.19,0.02,0.2181,5000,46010,5,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00694B,富邦美債1-3,otc,38.3,38.3,38.06,38.07,-0.29,-0.756,520664,19861887,97,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00695B,富邦美債7-10,otc,32.61,32.61,32.4,32.4,-0.26,-0.7961,343059,11142012,43,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00696B,富邦美債20年,otc,27.34,27.35,27.13,27.15,-0.21,-0.7675,4044103,109939601,285,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00697B,元大美債7-10,otc,33.0,33.0,32.7,32.73,-0.26,-0.7881,892116,29266979,392,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00719B,元大美債1-3,otc,28.87,28.87,28.6,28.62,-0.25,-0.866,3462533,99338761,1477,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00720B,元大投資級公司債,otc,31.06,31.06,30.81,30.82,-0.24,-0.7727,6179951,190844433,2438,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00722B,群益投資級電信債,otc,33.99,33.99,33.79,33.8,-0.23,-0.6759,973031,32918618,492,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00723B,群益投資級科技債,otc,29.64,29.64,29.41,29.41,-0.22,-0.7425,124000,3654150,23,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00724B,群益投資級金融債,otc,31.36,31.36,31.11,31.15,-0.22,-0.7013,4023291,125487866,290,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00725B,國泰投資級公司債,otc,33.01,33.01,32.73,32.78,-0.24,-0.7268,10013316,328506087,2676,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00726B,國泰新興投等債,otc,30.49,30.49,30.3,30.31,-0.18,-0.5904,21608,657040,38,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00727B,國泰優選非投等債,otc,36.86,36.86,36.81,36.81,-0.28,-0.7549,114059,4198986,22,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00734B,台新JPM新興債,otc,14.15,14.16,14.1,14.13,-0.07,-0.493,503052,7106130,115,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00740B,富邦全球投等債,otc,35.76,35.78,35.56,35.59,-0.29,-0.8082,6164736,219425515,337,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00741B,富邦全球非投等債,otc,34.91,34.91,34.79,34.8,-0.18,-0.5146,45063,1570032,90,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00746B,富邦A級公司債,otc,32.88,32.89,32.77,32.77,-0.24,-0.7271,1184221,38858277,157,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00749B,凱基新興債10+,otc,,,,,,,40,200,2,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit;invalid_close
2025-06-27,00750B,凱基科技債10+,otc,31.35,31.35,31.35,31.35,-0.16,-0.5078,1000,31350,1,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00751B,元大AAA至A公司債,otc,29.57,29.58,29.31,29.36,-0.25,-0.8443,8014257,235743870,3072,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00754B,群益AAA-AA公司債,otc,31.81,31.81,31.63,31.63,-0.21,-0.6595,123000,3896800,9,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00755B,群益投資級公用債,otc,30.43,30.43,30.2,30.2,-0.23,-0.7558,165121,4993605,121,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00756B,群益投等新興公債,otc,28.58,28.58,28.37,28.39,-0.19,-0.6648,201610,5730959,118,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00758B,復華能源債,otc,46.3,46.3,46.3,46.3,-0.3,-0.6438,100000,4630000,2,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00759B,復華製藥債,otc,50.2,50.2,49.75,49.75,-0.55,-1.0934,107002,5345750,6,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00760B,復華新興企業債,otc,49.22,49.27,49.03,49.03,-0.44,-0.8894,132250,6514468,28,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00761B,國泰A級公司債,otc,32.1,32.1,31.94,31.94,-0.21,-0.6532,72224,2311533,111,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00764B,群益25年美債,otc,26.26,26.26,26.04,26.06,-0.15,-0.5723,6784661,176984832,312,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00768B,復華20年美債,otc,49.26,49.42,48.75,48.75,-0.45,-0.9146,348000,17059100,21,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00772B,中信高評級公司債,otc,31.3,31.3,31.02,31.04,-0.25,-0.799,3245624,100938084,1191,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00773B,中信優先金融債,otc,33.04,33.04,32.82,32.83,-0.25,-0.7557,2297242,75501951,335,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-06-27,00777B,凱基AAA至A公司債,otc,30.46,30.46,30.39,30.39,-0.17,-0.5563,2001,60880,3,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
