date,time,symbol,name,market,title,category,summary,url,source
2026-06-01,14:25,3362,先進光,,本公司115年現金增資收足股款暨增資基準日,增資,,,MOPSOV:t05st01
2026-06-01,14:26,8358,金居,,本公司有價證券近期多次達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別暸解,其他,,,MOPSOV:t05st01
2026-06-01,14:26,4413,飛寶企業,,公告本公司更正115年度股東常會年報前十大股東相互間 關係表部分內容,其他,,,MOPSOV:t05st01
2026-06-01,14:27,5434,崇越,,代重要子公司上海崇誠國際貿易有限公司公告董事長異動,其他,,,MOPSOV:t05st01
2026-06-01,14:29,7792,安葆,,公告除息相關事宜,其他,,,MOPSOV:t05st01
2026-06-01,14:30,8299,群聯,,公告本公司114年下半年度股東現金股利除息基準日及 發放日期相關事宜,股利,,,MOPSOV:t05st01
2026-06-01,14:34,2537,聯上發,,公告本公司董事會補行委任薪資報酬委員會委員,董事會,,,MOPSOV:t05st01
2026-06-01,14:34,6697,東捷資訊,,公告本公司法人董事改派代表人暨董事變動達三分之一,其他,,,MOPSOV:t05st01
2026-06-01,14:34,1445,大宇,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,14:34,3149,正達,,115年股東常會通過解除本公司董事競業禁止之限制,其他,,,MOPSOV:t05st01
2026-06-01,14:36,6034,愛金卡,,公告本公司內部稽核主管異動,其他,,,MOPSOV:t05st01
2026-06-01,14:44,5609,中菲行,,公告本公司一百一十五年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,14:44,5356,協益,,公告本公司董事會推選董事長,董事會,,,MOPSOV:t05st01
2026-06-01,14:47,1445,大宇,,公告本公司改選董事當選名單,其他,,,MOPSOV:t05st01
2026-06-01,14:49,6140,訊達電腦,,本公司新增背書保證達公開發行公司資金貸與及背書保證處理準 則第二十五條第一項第四款公告,其他,,,MOPSOV:t05st01
2026-06-01,14:54,3552,同致,,公告本公司重要營運主管異動。,其他,,,MOPSOV:t05st01
2026-06-01,14:55,1445,大宇,,公告本公司115年股東會決議通過新任董事許可從事競業行為,其他,,,MOPSOV:t05st01
2026-06-01,14:55,6923,中台,,公告本公司114年度現金股利配發基準日,股利,,,MOPSOV:t05st01
2026-06-01,14:55,2891,中信金,,代子公司Land and Houses Securities Public Company Limited公告會計主管異動,其他,,,MOPSOV:t05st01
2026-06-01,14:56,1445,大宇,,本公司全體新任董事推選陳曜銘董事續任董事長,其他,,,MOPSOV:t05st01
2026-06-01,14:56,3416,融程電,,本公司董事長決定現金股利配息基準日,股利,,,MOPSOV:t05st01
2026-06-01,14:58,8442,威宏-KY,,公告本公司發行中華民國境內第三次有擔保轉換公司債及 中華民國境內第四次無擔保轉換公司債 之代收價款行庫及存儲專戶行庫,其他,,,MOPSOV:t05st01
2026-06-01,14:59,1445,大宇,,公告本公司「審計委員會」委員異動,其他,,,MOPSOV:t05st01
2026-06-01,15:02,2464,盟立,,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,其他,,,MOPSOV:t05st01
2026-06-01,15:02,6654,天正國際,,本公司有價證券近期多次達公布注意交易資訊標準，故公告 相關訊息，以利投資人區別瞭解,其他,,,MOPSOV:t05st01
2026-06-01,15:04,8058,耐特,,公告本公司決議除息基準日,其他,,,MOPSOV:t05st01
2026-06-01,15:07,2351,順德,,本公司受邀參加野村證券舉辦之投資人說明會,其他,,,MOPSOV:t05st01
2026-06-01,15:15,4915,致伸,,代子公司惠州迪芬尼聲學科技股份有限公司 公告2025年度股東大會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,15:17,4915,致伸,,代子公司惠州迪芬尼聲學科技股份有限公司 公告監事異動,其他,,,MOPSOV:t05st01
2026-06-01,15:19,4915,致伸,,代重要子公司Tymphany Worldwide Enterprises Limited 公告董事會決議擬發放114年股利事宜,股利,,,MOPSOV:t05st01
2026-06-01,15:19,6606,建德工業,,公告本公司115年股東會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,15:19,8064,東捷,,代重要子公司富臨科技工程(股)公司公告 115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,15:20,8064,東捷,,代重要子公司富臨科技工程(股)公司公告配息基準日,其他,,,MOPSOV:t05st01
2026-06-01,15:20,4760,勤凱科技,,本公司有價證券近期多次達公佈注意交易資訊標準，故公告 相關訊息，以利投資人區別暸解,其他,,,MOPSOV:t05st01
2026-06-01,15:21,2243,宏旭-KY,,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,15:22,4915,致伸,,本公司代子公司Diamond (Cayman) Holdings Ltd.公告 發放現金股利,股利,,,MOPSOV:t05st01
2026-06-01,15:23,4915,致伸,,本公司受邀參加花旗證券所舉辦之「2026 Taiwan Tech Conference」,其他,,,MOPSOV:t05st01
2026-06-01,15:23,7713,威力德生醫,,公告本公司法人董事指派代表人,其他,,,MOPSOV:t05st01
2026-06-01,15:24,8342,益張,,公告本公司內部稽核主管異動,其他,,,MOPSOV:t05st01
2026-06-01,15:24,6928,攸泰科技,,公告本公司民國115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,15:27,7631,聚賢研發-創,,公告本公司114年度第4季現金股利配發基準日,股利,,,MOPSOV:t05st01
2026-06-01,15:30,6847,普瑞博,,公告本公司會計主管、公司治理主管異動,其他,,,MOPSOV:t05st01
2026-06-01,15:31,6531,愛普*,,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,15:33,5706,鳳凰,,公告本公司薪資報酬委員會及永續發展委員會任期屆滿,其他,,,MOPSOV:t05st01
2026-06-01,15:34,4760,勤凱科技,,本公司可轉換公司債勤凱二(代號:47602)近期達公布注意 交易資訊標準，故公告相關訊息，以利投資人區別了解,其他,,,MOPSOV:t05st01
2026-06-01,15:34,6494,九齊,,公告本公司現金股利基準日、股票停止過戶期間及現金股利發放 日期,股利,,,MOPSOV:t05st01
2026-06-01,15:35,2741,老四川,,公告本公司代理發言人、財務主管、會計主管異動,其他,,,MOPSOV:t05st01
2026-06-01,15:36,6768,志強-KY,,公告本公司除息基準日及相關事宜,其他,,,MOPSOV:t05st01
2026-06-01,15:37,1423,利華,,公告本公司115年股利配發基準日,股利,,,MOPSOV:t05st01
2026-06-01,15:38,3711,日月光投控,,代子公司矽品精密工業(股)公司公告取得廠務工程,其他,,,MOPSOV:t05st01
2026-06-01,15:39,2867,三商壽,,公告本公司召開2026年第一季法人說明會,其他,,,MOPSOV:t05st01
2026-06-01,15:42,4766,南寶,,公告本公司總經理(執行長)退休事宜,其他,,,MOPSOV:t05st01
2026-06-01,15:43,6819,眾智,,公告本公司董事會決議購置不動產案,董事會,,,MOPSOV:t05st01
2026-06-01,15:48,6533,晶心科,,本公司受邀參加花旗證券舉辦之「Citi 2026 Taiwan Conference」,其他,,,MOPSOV:t05st01
2026-06-01,15:49,9929,秋雨,,公告本公司董事會推選新任董事長,董事會,,,MOPSOV:t05st01
2026-06-01,15:49,2434,統懋,,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解,其他,,,MOPSOV:t05st01
2026-06-01,15:50,1609,大亞,,代子公司博曜電力股份有限公司公告向關係人取得不動產使用權資產,其他,,,MOPSOV:t05st01
2026-06-01,15:50,2383,台光電,,本公司受邀參加高盛證券舉辦之「GS Taiwan Computex & Corporate Day」,其他,,,MOPSOV:t05st01
2026-06-01,15:51,9929,秋雨,,公告本公司董事會委任第六屆薪資報酬委員會委員,董事會,,,MOPSOV:t05st01
2026-06-01,15:53,6141,柏承,,因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,其他,,,MOPSOV:t05st01
2026-06-01,15:55,8110,華東,,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,15:56,6833,太康精密,,公告本公司訂定115年現金增資認股基準日及相關事宜,增資,,,MOPSOV:t05st01
2026-06-01,16:00,6456,GIS-KY,,代重要子公司業成科技(成都)有限公司公告董事會 決議通過盈餘分派案,董事會,,,MOPSOV:t05st01
2026-06-01,16:00,6535,順藥,,公告本公司中國授權夥伴上海醫藥完成NMPA之二/三期 臨床試驗諮詢,其他,,,MOPSOV:t05st01
2026-06-01,16:02,6405,悅城,,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,16:05,2760,巨宇翔,,本公司依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第二款及第三款規定公告(更正資金貸與之限額),其他,,,MOPSOV:t05st01
2026-06-01,16:06,4147,中裕,,中裕新藥愛滋新藥 Trogarzo 台灣上市取得關鍵進展， 合作夥伴友華生技取得 TFDA 品名核定,其他,,,MOPSOV:t05st01
2026-06-01,16:11,5878,台名,,本公司董事長異動公告,其他,,,MOPSOV:t05st01
2026-06-01,16:13,2344,華邦電,,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,16:14,2337,旺宏,,奉證券交易所通知本公司股價變動達應公布注意交易資訊 標準，而公布相關資訊事,其他,,,MOPSOV:t05st01
2026-06-01,16:15,5371,中光電,,公告本公司115年配息基準日,其他,,,MOPSOV:t05st01
2026-06-01,16:17,8033,雷虎,,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-06-01,16:18,2020,美亞,,本公司自辦115年第2次線上法人說明會,其他,,,MOPSOV:t05st01
2026-06-01,16:21,1735,日勝化,,公告本公司決定民國114年度股利配發基準日,股利,,,MOPSOV:t05st01
2026-06-01,16:22,3521,台鋼建設,,公告本公司財務主管、會計主管 經董事會委任通過,董事會,,,MOPSOV:t05st01
2026-06-01,16:23,3265,台星科,,公告本公司取得機器設備達新臺幣5億元以上,其他,,,MOPSOV:t05st01
2026-06-01,16:23,3521,台鋼建設,,公告本公司公司治理主管 經董事會委任通過,董事會,,,MOPSOV:t05st01
2026-06-01,16:26,2069,運錩,,公告本公司除息基準日,其他,,,MOPSOV:t05st01
