date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-05-12,2409,友達,listed,246118869,135171693,110947176,0,8255,-8255,11383182,2964386,8418796,119357717,TWSE
2026-05-12,00919,群益台灣精選高息,listed,52660870,19415429,33245441,0,0,0,88059229,14226550,73832679,107078120,TWSE
2026-05-12,3481,群創,listed,245812656,163817854,81994802,0,74905,-74905,5805635,4956244,849391,82769288,TWSE
2026-05-12,2303,聯電,listed,99265491,63978955,35286536,15869001,6442094,9426907,9869193,4670206,5198987,49912430,TWSE
2026-05-12,00981A,主動統一台股增長,listed,46936587,85168552,-38231965,0,0,0,142735092,57387935,85347157,47115192,TWSE
2026-05-12,009820,元大納斯達克精選,listed,32783000,193941,32589059,0,0,0,13502000,5686454,7815546,40404605,TWSE
2026-05-12,00940,元大台灣價值高息,listed,9821325,9469000,352325,0,0,0,41578451,4097361,37481090,37833415,TWSE
2026-05-12,2344,華邦電,listed,124799153,97377191,27421962,7694000,34562,7659438,3228303,3447550,-219247,34862153,TWSE
2026-05-12,00918,大華優利高填息30,listed,9883120,2752000,7131120,0,0,0,29888400,3329234,26559166,33690286,TWSE
2026-05-12,2313,華通,listed,47621645,17646572,29975073,2998880,141000,2857880,1819358,1101002,718356,33551309,TWSE
2026-05-12,0056,元大高股息,listed,6003675,7005406,-1001731,0,200000,-200000,35374389,941398,34432991,33231260,TWSE
2026-05-12,2408,南亞科,listed,73731600,48159715,25571885,2893348,50916,2842432,2936934,2496693,440241,28854558,TWSE
2026-05-12,2301,光寶科,listed,57513700,30287246,27226454,40000,4434598,-4394598,1233540,2848883,-1615343,21216513,TWSE
2026-05-12,2317,鴻海,listed,57077296,25394841,31682455,58892,10839059,-10780167,1556015,1442899,113116,21015404,TWSE
2026-05-12,3231,緯創,listed,43371616,22863487,20508129,17925,130102,-112177,883276,1074538,-191262,20204690,TWSE
2026-05-12,00929,復華台灣科技優息,listed,5502831,9032080,-3529249,0,0,0,32766850,9369887,23396963,19867714,TWSE
2026-05-12,6116,彩晶,listed,42100060,26824000,15276060,0,0,0,1684656,319348,1365308,16641368,TWSE
2026-05-12,2481,強茂,listed,28768024,15286410,13481614,898001,680,897321,1288732,483655,805077,15184012,TWSE
2026-05-12,00878,國泰永續高股息,listed,10215469,10695847,-480378,0,0,0,31952046,17113762,14838284,14357906,TWSE
2026-05-12,1402,遠東新,listed,18829273,4963000,13866273,81000,84397,-3397,20092,148137,-128045,13734831,TWSE
2026-05-12,00713,元大台灣高息低波,listed,2762124,2552600,209524,0,0,0,13417639,587676,12829963,13039487,TWSE
2026-05-12,00637L,元大滬深300正2,listed,515000,148000,367000,0,0,0,17860787,5458344,12402443,12769443,TWSE
2026-05-12,1802,台玻,listed,43633854,31153950,12479904,0,0,0,1730232,1741839,-11607,12468297,TWSE
2026-05-12,00900,富邦特選高股息30,listed,8547050,2224000,6323050,0,0,0,7303806,2173070,5130736,11453786,TWSE
2026-05-12,009819,中信數據及電力,listed,12100,16000,-3900,0,0,0,12661000,1706546,10954454,10950554,TWSE
2026-05-12,1714,和桐,listed,12095000,1474488,10620512,0,0,0,111160,71800,39360,10659872,TWSE
2026-05-12,2892,第一金,listed,35594369,25219784,10374585,0,363825,-363825,25449,299956,-274507,9736253,TWSE
2026-05-12,00953B,群益優選非投等債,listed,3506000,45000,3461000,0,0,0,8308000,3201000,5107000,8568000,TWSE
2026-05-12,3714,富采,listed,16319311,8258300,8061011,0,0,0,384660,178835,205825,8266836,TWSE
2026-05-12,00915,凱基優選高股息30,listed,4133500,703000,3430500,0,0,0,8194384,3685194,4509190,7939690,TWSE
2026-05-12,00738U,期元大道瓊白銀,listed,1506000,750275,755725,0,0,0,10062289,3137581,6924708,7680433,TWSE
2026-05-12,6285,啟碁,listed,19595742,12927272,6668470,707000,168000,539000,1020898,705090,315808,7523278,TWSE
2026-05-12,00993A,主動安聯台灣,listed,2079000,2724000,-645000,0,0,0,11854367,4762904,7091463,6446463,TWSE
2026-05-12,5876,上海商銀,listed,13410419,6137000,7273419,0,399000,-399000,100000,668000,-568000,6306419,TWSE
2026-05-12,1717,長興,listed,24309661,19822642,4487019,0,300000,-300000,2510307,691446,1818861,6005880,TWSE
2026-05-12,057533,日月光統一63購01,listed,0,0,0,0,0,0,5976000,0,5976000,5976000,TWSE
2026-05-12,3450,聯鈞,listed,8034029,2315719,5718310,50000,0,50000,391867,369859,22008,5790318,TWSE
2026-05-12,04015C,臺股指元大64牛15,listed,0,0,0,0,0,0,5546000,10000,5536000,5536000,TWSE
2026-05-12,3305,昇貿,listed,7077000,1983110,5093890,0,0,0,595343,182716,412627,5506517,TWSE
2026-05-12,3033,威健,listed,8156000,2304000,5852000,0,31392,-31392,198872,536736,-337864,5482744,TWSE
