date,time,symbol,name,market,title,category,summary,url,source
2026-08-18,06:59,6908,宏碁遊戲-創,,代子公司Winking Studios Limited公告庫藏股執行情形,其他,,,MOPSOV:t05st01
2026-08-18,07:00,1721,三晃,,公告本公司名稱由「三晃股份有限公司」更名為 「國慶科技股份有限公司」 ，公告期間：115年07月01日至115年9月30日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,3708,上緯投控,,公告本公司名稱由「上緯國際投資控股股份有限公司」更名為 「上緯國際控股股份有限公司」，公告期間：115年6月11日至 115年9月10日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,6696,仁新,,公告本公司股票面額由「新台幣10元」變更為「新台幣1元」， 公告期間：115年8月5日至115年11月4日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,4530,天意能創,,公告本公司名稱由「宏易創新國際股份有限公司」 更名為「天意能創股份有限公司」， 公告期間：115年7月09日至115年10月08日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,6949,沛爾生醫-創,,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,8472,納維康,,公告本公司名稱由「夠麻吉股份有限公司」更名為 「納維康生技股份有限公司」，公告期間：115年6月29日 至115年9月28日,其他,,,MOPSOV:t05st01
2026-08-18,07:00,4747,強生製藥,,公告本公司股票面額由「新台幣10元」變更為「新台幣5元」 公告期間：115年7月22日至115年10月21日,其他,,,MOPSOV:t05st01
2026-08-18,07:00,4953,緯致,,公告本公司名稱由「緯創軟體股份有限公司」 更名為「緯致科技股份有限公司」， 公告期間：115年6月2日至115年9月1日。,其他,,,MOPSOV:t05st01
2026-08-18,07:00,5904,寶雅*,,公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」 公告期間：115年7月2日至115年10月1日,其他,,,MOPSOV:t05st01
2026-08-18,10:35,3016,嘉晶,,公告本公司國內第六次無擔保轉換公司債收足應募價款,其他,,,MOPSOV:t05st01
2026-08-18,10:59,4113,聯上,,補充說明本公司於115年5月8日公告發行普通公司債,其他,,,MOPSOV:t05st01
2026-08-18,11:10,5434,崇越,,公告說明媒體之相關報導。,其他,,,MOPSOV:t05st01
2026-08-18,11:19,4989,榮科,,公告本公司114年現金增資催繳期間屆滿暨股票發放事宜 (補充發放日),增資,,,MOPSOV:t05st01
2026-08-18,11:38,2377,微星,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-08-18,13:38,7631,聚賢研發-創,,公告本公司國內第一次無擔保轉換公司債之轉換價格及溢價率,其他,,,MOPSOV:t05st01
2026-08-18,13:40,4121,優盛,,公告本公司選任第二屆永續發展委員會召集人,其他,,,MOPSOV:t05st01
2026-08-18,13:42,7929,碩通,,公告本公司董事會決議召開一一五年第一次股東臨時會 (更正討論事項),董事會,,,MOPSOV:t05st01
2026-08-18,13:47,2852,第一保,,公告115年第二季財務報告董事會預計召開日期為115年8月26日,董事會,,,MOPSOV:t05st01
2026-08-18,13:48,6147,頎邦,,公告本公司註銷限制員工權利新股減資變更登記完成,減資,,,MOPSOV:t05st01
2026-08-18,13:54,2028,威致,,本公司受邀參加福邦證券舉辦之線上法人說明會,其他,,,MOPSOV:t05st01
2026-08-18,13:59,2436,偉詮電,,公告本公司受邀參加 ”元大證券法人說明會”。,其他,,,MOPSOV:t05st01
2026-08-18,14:00,6186,新潤,,公告本公司115年度現金增資發行新股之發行條件及認股基準日 (補充公告現金增資委託代收股款及存儲專戶銀行相關資訊暨 現金增資認股價格),增資,,,MOPSOV:t05st01
2026-08-18,14:02,2228,劍麟,,本公司受邀參加凱基證券舉辦之法人說明會,其他,,,MOPSOV:t05st01
2026-08-18,14:02,8291,尚茂,,公告115年07月自結個別財務報告之流動比率、速動比率及 負債比率,其他,,,MOPSOV:t05st01
2026-08-18,14:07,4967,十銓,,公告調整本公司國內第五次無擔保轉換公司債(十銓五) 轉換價格,其他,,,MOPSOV:t05st01
2026-08-18,14:10,4585,達明,,公告本公司取得有價證券,其他,,,MOPSOV:t05st01
2026-08-18,14:14,6887,寶綠特-KY,,公告本公司115年第二季合併財務報告董事會召開日期,董事會,,,MOPSOV:t05st01
2026-08-18,14:14,5538,東明-KY,,公告本公司董事會通過115年度第二季合併財務報告,董事會,,,MOPSOV:t05st01
2026-08-18,14:15,7823,奧義賽博-KY創,,代重要子公司奧義智慧科技股份有限公司公告 董事會同意調整114年度股利分派事宜 (修正5/15代子公司公告不發放股利),股利,,,MOPSOV:t05st01
2026-08-18,14:16,2066,世德,,公告修正本公司114年度股東會年報部份內容,其他,,,MOPSOV:t05st01
2026-08-18,14:16,7823,奧義賽博-KY創,,代重要子公司奧義智慧科技股份有限公司公告 董事會決議增資基準日,董事會,,,MOPSOV:t05st01
2026-08-18,14:26,7823,奧義賽博-KY創,,代重要子公司奧義智慧科技股份有限公司公告辦理 盈餘轉增資發行新股,增資,,,MOPSOV:t05st01
2026-08-18,14:29,1338,廣華-KY,,公告本公司115年第二季合併財務報告董事會召開日期,董事會,,,MOPSOV:t05st01
2026-08-18,14:33,7823,奧義賽博-KY創,,公告本公司董事會決議通過增資子公司奧義智慧科技(股)公司 (更正交易單位數量、交易總金額及累積持有金額),董事會,,,MOPSOV:t05st01
