date,time,symbol,name,market,title,category,summary,url,source
2026-08-12,04:05,6696,仁新,,"代重要子公司Belite Bio, Inc公告LBS-008用於治療斯特格 病變之新藥查驗登記申請(NDA)獲美國食品藥物管理局(FDA)受理 並授予優先審查資格",其他,,,MOPSOV:t05st01
2026-08-12,07:00,1721,三晃,,公告本公司名稱由「三晃股份有限公司」更名為 「國慶科技股份有限公司」 ，公告期間：115年07月01日至115年9月30日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,3708,上緯投控,,公告本公司名稱由「上緯國際投資控股股份有限公司」更名為 「上緯國際控股股份有限公司」，公告期間：115年6月11日至 115年9月10日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,6696,仁新,,公告本公司股票面額由「新台幣10元」變更為「新台幣1元」， 公告期間：115年8月5日至115年11月4日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,4530,天意能創,,公告本公司名稱由「宏易創新國際股份有限公司」 更名為「天意能創股份有限公司」， 公告期間：115年7月09日至115年10月08日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,6949,沛爾生醫-創,,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,8472,納維康,,公告本公司名稱由「夠麻吉股份有限公司」更名為 「納維康生技股份有限公司」，公告期間：115年6月29日 至115年9月28日,其他,,,MOPSOV:t05st01
2026-08-12,07:00,4747,強生製藥,,公告本公司股票面額由「新台幣10元」變更為「新台幣5元」 公告期間：115年7月22日至115年10月21日,其他,,,MOPSOV:t05st01
2026-08-12,07:00,4953,緯致,,公告本公司名稱由「緯創軟體股份有限公司」 更名為「緯致科技股份有限公司」， 公告期間：115年6月2日至115年9月1日。,其他,,,MOPSOV:t05st01
2026-08-12,07:00,5904,寶雅*,,公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」 公告期間：115年7月2日至115年10月1日,其他,,,MOPSOV:t05st01
2026-08-12,09:15,7826,極風雲創,,公告本公司董事會決議向關係人取得使用權資產(更正依取處第十六條規定評估之價格),董事會,,,MOPSOV:t05st01
2026-08-12,09:35,6943,明緯企業,,公告本公司總經理異動(更正第2項),其他,,,MOPSOV:t05st01
2026-08-12,09:49,2215,匯豐汽車,,公告修正本公司115年股東會年報部份內容,其他,,,MOPSOV:t05st01
2026-08-12,10:26,1516,川飛,,本公司董事會通過115年度第2季個別財務報告,董事會,,,MOPSOV:t05st01
2026-08-12,10:35,1560,中砂,,澄清經濟日報115年8月12日報導,其他,,,MOPSOV:t05st01
2026-08-12,10:53,6998,友上科,,更正本公司115年7月28日「訂定減資基準日及 減資換發股票基準日等相關作業事宜」部分內容,減資,,,MOPSOV:t05st01
2026-08-12,11:04,6831,邁科,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-08-12,11:07,7855,和運租車,,公告本公司董事會通過民國115年第2季合併財務報告,董事會,,,MOPSOV:t05st01
2026-08-12,11:08,3197,源河生技,,公告本公司會計主管異動,其他,,,MOPSOV:t05st01
2026-08-12,11:10,8358,金居,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-08-12,11:12,9934,成霖,,本公司受邀參加華南永昌證券舉辦之線上法人說明會,其他,,,MOPSOV:t05st01
2026-08-12,11:27,7904,任開數位,,公告本公司董事會通過115年第二季財務報告(更正每股 盈餘(損失)),董事會,,,MOPSOV:t05st01
2026-08-12,11:34,5609,中菲行,,公告本公司董事會通過115年第二季合併財務報告,董事會,,,MOPSOV:t05st01
2026-08-12,11:35,6720,久昌,,補充公告本公司董事會決議投資益創四創業投資股份有限公司(第14項),董事會,,,MOPSOV:t05st01
2026-08-12,11:37,2524,京城,,本公司董事會通過115年第2季合併財務報告,董事會,,,MOPSOV:t05st01
2026-08-12,11:42,3197,源河生技,,本公司配合會計師事務所內部輪調更換簽證會計師,其他,,,MOPSOV:t05st01
2026-08-12,11:45,6583,友松,,公告本公司董事會通過115年第二季合併財務報告,董事會,,,MOPSOV:t05st01
2026-08-12,11:52,4746,台耀,,本公司受邀參加凱基證券舉辦之法人說明會,其他,,,MOPSOV:t05st01
2026-08-12,12:00,3051,力特,,公告修正本公司114年度股東會年報部分內容,其他,,,MOPSOV:t05st01
2026-08-12,12:01,9949,琉園,,公告本公司115年第2季合併財務報告業經董事會決議通過,董事會,,,MOPSOV:t05st01
2026-08-12,12:03,9949,琉園,,公告本公司財務主管異動,其他,,,MOPSOV:t05st01
