date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-06-16,1605,華新,listed,40.05,40.4,39.0,39.15,-0.85,-2.125,48164000,1905386000,17553,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1608,華榮,listed,35.5,35.6,34.55,34.55,-0.7,-1.9858,2598000,90563100,1384,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1609,大亞,listed,38.95,38.95,37.6,37.75,-0.55,-1.436,4266000,161616250,2380,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1611,中電,listed,13.35,13.35,13.0,13.05,-0.25,-1.8797,911000,11950750,395,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1612,宏泰,listed,38.5,38.5,37.75,37.85,-0.25,-0.6562,759000,28760600,470,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1614,三洋電,listed,31.95,32.15,31.9,32.0,0.1,0.3135,37000,1185550,33,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1615,大山,listed,44.9,45.35,44.7,44.75,-0.1,-0.223,106000,4755900,70,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1616,億泰,listed,22.8,22.8,22.0,22.2,-0.4,-1.7699,465000,10352450,295,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1617,榮星,listed,16.5,16.6,16.35,16.35,-0.1,-0.6079,65000,1067300,52,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1618,合機,listed,43.1,43.1,42.05,42.05,-0.4,-0.9423,849000,35926600,591,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1623,大東電,listed,215.0,216.0,212.5,212.5,-2.0,-0.9324,96000,20531000,88,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1626,艾美特-KY,listed,10.25,10.25,9.98,10.0,-0.15,-1.4778,64000,643490,42,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1702,南僑,listed,31.5,31.65,31.35,31.55,0.05,0.1587,221000,6963550,150,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1707,葡萄王,listed,103.0,103.5,102.0,103.0,0.0,0.0,274000,28119000,202,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1708,東鹼,listed,47.5,47.85,45.85,46.0,-1.4,-2.9536,6880000,319919250,4127,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1709,和益,listed,21.15,21.5,20.7,20.8,-0.35,-1.6548,1407000,29504850,682,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1710,東聯,listed,13.85,13.95,13.5,13.5,-0.25,-1.8182,3363000,46000700,999,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1711,永光,listed,45.4,45.75,43.1,43.15,-1.45,-3.2511,5424000,239177950,3010,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1712,興農,listed,40.25,40.5,39.7,39.75,-0.15,-0.3759,780000,31182150,452,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1713,國化,listed,50.8,51.1,50.2,50.2,-0.3,-0.5941,183000,9250700,119,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1714,和桐,listed,17.4,18.2,16.8,17.95,1.25,7.485,32368000,569400100,14530,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1717,長興,listed,71.8,72.8,70.0,70.0,-1.2,-1.6854,7576000,537341700,4340,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1718,中纖,listed,9.35,9.35,9.21,9.21,-0.07,-0.7543,5239000,48511130,3050,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1720,生達,listed,62.8,63.0,62.6,62.6,-0.2,-0.3185,121000,7583900,84,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1721,三晃,listed,23.6,24.2,22.85,22.85,-0.55,-2.3504,1448000,34006950,694,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-06-16,1722,台肥,listed,48.9,49.25,48.4,48.65,-0.2,-0.4094,2401000,117193300,1291,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
