date,time,symbol,name,market,title,category,summary,url,source
2026-09-03,07:00,1721,三晃,,公告本公司名稱由「三晃股份有限公司」更名為 「國慶科技股份有限公司」 ，公告期間：115年07月01日至115年9月30日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,3708,上緯投控,,公告本公司名稱由「上緯國際投資控股股份有限公司」更名為 「上緯國際控股股份有限公司」，公告期間：115年6月11日至 115年9月10日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,4530,天意能創,,公告本公司名稱由「宏易創新國際股份有限公司」 更名為「天意能創股份有限公司」， 公告期間：115年7月09日至115年10月08日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,2072,世紀風電,,公告本公司名稱由「世紀離岸風電設備股份有限公司」更名 為「世紀能源設備股份有限公司」，公告期間：115年8月26日至 115年11月25日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,8472,納維康,,公告本公司名稱由「夠麻吉股份有限公司」更名為 「納維康生技股份有限公司」，公告期間：115年6月29日 至115年9月28日,其他,,,MOPSOV:t05st01
2026-09-03,07:00,6696,仁新*,,公告本公司股票面額由「新台幣10元」變更為「新台幣1元」， 公告期間：115年8月5日至115年11月4日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,6949,沛爾生醫-創,,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,其他,,,MOPSOV:t05st01
2026-09-03,07:00,4747,強生*,,公告本公司股票面額由「新台幣10元」變更為「新台幣5元」 公告期間：115年7月22日至115年10月21日,其他,,,MOPSOV:t05st01
2026-09-03,07:00,5904,寶雅*,,公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」 公告期間：115年7月2日至115年10月1日,其他,,,MOPSOV:t05st01
2026-09-03,10:30,3629,地心引力,,本公司有價證券近期股價異常，故公告相關 訊息以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-09-03,10:33,3629,地心引力,,本公司有價證券近期股價異常，故公告相關 訊息以利投資人區別瞭解。,其他,,,MOPSOV:t05st01
2026-09-03,10:35,3010,華立,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-09-03,10:44,1477,聚陽,,澄清近期媒體報導,其他,,,MOPSOV:t05st01
2026-09-03,10:47,1217,愛之味,,公告本公司將於115年09月11日召開第1次法人說明會,其他,,,MOPSOV:t05st01
2026-09-03,11:24,4576,大銀微系統,,澄清新聞媒體報導,其他,,,MOPSOV:t05st01
2026-09-03,11:41,4155,訊映,,公告本公司辦理庫藏股註銷減資變更登記完成,減資,,,MOPSOV:t05st01
2026-09-03,11:41,4155,訊映,,本公司收回已發行之限制員工權利新股辦理註銷減資 變更登記完成,減資,,,MOPSOV:t05st01
2026-09-03,11:41,4155,訊映,,公告本公司辦理現金減資變更登記完成,減資,,,MOPSOV:t05st01
2026-09-03,11:43,4155,訊映,,本公司董事長訂定現金減資換股基準日暨換發股票作業計畫 等相關事宜,減資,,,MOPSOV:t05st01
2026-09-03,13:40,3591,艾笛森,,本公司辦理現金減資國內第四次無擔保轉換公司債停止轉換 期間公告(更正停止轉換期間),減資,,,MOPSOV:t05st01
2026-09-03,13:49,4161,聿新科,,公告本公司註銷限制員工權利新股註銷減資變更登記完成,減資,,,MOPSOV:t05st01
2026-09-03,13:52,6669,緯穎,,本公司受邀參加凱基證券舉辦之2026年第三季投資論壇,其他,,,MOPSOV:t05st01
2026-09-03,13:55,2851,中再保,,公告本公司召開法說會相關內容,法說會,,,MOPSOV:t05st01
2026-09-03,13:59,6669,緯穎,,公告調整本公司第一次及第二次海外無擔保可轉換公司債 轉換價格,其他,,,MOPSOV:t05st01
2026-09-03,13:59,2755,揚秦,,公告揚秦股份有限公司第一次無擔保轉換公司債(簡稱：揚秦一，代碼：27551)發行公司行使債券贖回權暨訂於115年11月02日終止櫃檯買賣等相關事宜。,其他,,,MOPSOV:t05st01
2026-09-03,14:00,3489,森寶,,公告本公司總經理異動,其他,,,MOPSOV:t05st01
2026-09-03,14:02,3489,森寶,,公告本公司董事會通過解除經理人競業禁止之限制,董事會,,,MOPSOV:t05st01
2026-09-03,14:02,1590,亞德客-KY,,公告本公司2026年8月份自結合併營收,營收,,,MOPSOV:t05st01
2026-09-03,14:03,2303,聯電,,本公司受邀參與法人說明會相關資訊,其他,,,MOPSOV:t05st01
2026-09-03,14:03,2303,聯電,,本公司受邀參與法人說明會相關資訊,其他,,,MOPSOV:t05st01
2026-09-03,14:06,3489,森寶,,公告本公司董事會決議召開115年第一次股東臨時會相關事宜 (增列討論事項﹚,董事會,,,MOPSOV:t05st01
2026-09-03,14:09,2548,華固,,本公司受邀參加富邦證券舉辦之法說會,法說會,,,MOPSOV:t05st01
2026-09-03,14:11,3324,雙鴻,,本公司受邀參加 Citi 2026 Semicon Tour,其他,,,MOPSOV:t05st01
2026-09-03,14:11,3324,雙鴻,,本公司受邀參中信證券2026第三季前瞻論壇,其他,,,MOPSOV:t05st01
2026-09-03,14:26,4915,致伸,,公告本公司會計主管異動,其他,,,MOPSOV:t05st01
2026-09-03,14:27,2388,威盛,,公告本公司買回股份之⾦額達新台幣三億元以上,其他,,,MOPSOV:t05st01
2026-09-03,14:28,1464,得力,,更正本公司115年6月及7月關係人交易自結申報資訊,其他,,,MOPSOV:t05st01
2026-09-03,14:29,3718,中光電投控,,公告本公司取得經濟部申請設立登記完成,其他,,,MOPSOV:t05st01
2026-09-03,14:30,3718,中光電投控,,公告本公司委任總經理,其他,,,MOPSOV:t05st01
2026-09-03,14:30,3718,中光電投控,,公告本公司發言人、代理發言人、財務主管、會計主管、 公司治理主管及內部稽核主管委任,其他,,,MOPSOV:t05st01
2026-09-03,14:30,3718,中光電投控,,本公司公告董事會解除經理人競業禁止之限制,董事會,,,MOPSOV:t05st01
2026-09-03,14:30,3718,中光電投控,,自即日起至115/12/31止，開放中強光電(股)公司之 公開資訊觀測站歷史資訊供投資人查詢,其他,,,MOPSOV:t05st01
2026-09-03,14:31,3324,雙鴻,,本公司可轉換公司債雙鴻五(代號:33245)近期達公布注意 交易資訊標準，故公告相關訊息，以利投資人區別了解,其他,,,MOPSOV:t05st01
2026-09-03,14:31,5284,jpp-KY,,受邀參加統一證券2026Q3全球展望秋季投資論壇,其他,,,MOPSOV:t05st01
2026-09-03,14:31,3324,雙鴻,,本公司因近期股(債)價量異常，應櫃買中心要求公布 相關資訊，以利投資人區別暸解,其他,,,MOPSOV:t05st01
2026-09-03,14:34,1441,大東,,公告本公司訂定減資 換股作業計劃及減資換發股票基準日,減資,,,MOPSOV:t05st01
2026-09-03,14:37,8299,群聯,,公告本公司受邀參加CTBC Securites舉辦之Investment Forum,其他,,,MOPSOV:t05st01
2026-09-03,14:37,8299,群聯,,公告本公司受邀參加Horizon證券舉辦之投資論壇,其他,,,MOPSOV:t05st01
2026-09-03,14:38,8299,群聯,,公告本公司受邀參加UBS證券舉辦之投資論壇,其他,,,MOPSOV:t05st01
2026-09-03,14:39,2637,慧洋-KY,,補充公告本公司115年08月份自結盈餘,其他,,,MOPSOV:t05st01
2026-09-03,14:41,2006,東和鋼鐵,,本公司受邀參加元大證券舉辦之線上法說會， 報告本公司營運狀況,法說會,,,MOPSOV:t05st01
2026-09-03,14:42,2885,元大金,,元大金控代子公司元大證券(柬埔寨)公告股東臨時會 重要決議事項,其他,,,MOPSOV:t05st01
2026-09-03,14:55,2383,台光電,,代重要子公司EMC OVERSEAS HOLDING INCORPORATED 公告盈餘分配案,其他,,,MOPSOV:t05st01
2026-09-03,14:58,6570,維田,,公告本公司受邀參加統一證券舉辦之2026Q3全球展望秋季投資論壇,其他,,,MOPSOV:t05st01
2026-09-03,14:59,3533,嘉澤,,本公司受邀參加花旗證券舉辦之Citi 2026 Semicon Tour,其他,,,MOPSOV:t05st01
2026-09-03,15:00,2383,台光電,,本公司受邀參加花旗證券舉辦之法人說明會,其他,,,MOPSOV:t05st01
2026-09-03,15:00,3021,鴻名,,公告本公司註銷庫藏股變更登記完成事宜,其他,,,MOPSOV:t05st01
2026-09-03,15:01,5284,jpp-KY,,受邀參加宏遠證券舉辦之產業趨勢論壇,其他,,,MOPSOV:t05st01
2026-09-03,15:02,3533,嘉澤,,本公司受邀參加大和國泰證券舉辦之法人說明會,其他,,,MOPSOV:t05st01
2026-09-03,15:02,5284,jpp-KY,,受邀參加第一證券舉辦之2026第三季投資論壇,其他,,,MOPSOV:t05st01
