date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2025-07-02,1101,台泥,listed,1029,349,18489,678,36,0,36,36,158,TWSE
2025-07-02,1102,亞泥,listed,23,27,301,-4,0,0,0,0,0,TWSE
2025-07-02,1103,嘉泥,listed,56,30,2738,26,0,0,0,0,0,TWSE
2025-07-02,1104,環泥,listed,14,3,1388,11,0,0,27,0,0,TWSE
2025-07-02,1108,幸福,listed,0,2,760,-2,0,0,0,0,0,TWSE
2025-07-02,1109,信大,listed,0,32,688,-32,0,0,0,0,0,TWSE
2025-07-02,1110,東泥,listed,0,0,3063,0,0,1,0,-1,0,TWSE
2025-07-02,1201,味全,listed,13,5,1483,8,0,0,0,0,0,TWSE
2025-07-02,1203,味王,listed,0,1,19,-1,0,0,0,0,0,TWSE
2025-07-02,1210,大成,listed,55,61,926,-6,1,0,22,1,0,TWSE
2025-07-02,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2025-07-02,1215,卜蜂,listed,32,119,765,-88,1,0,33,1,0,TWSE
2025-07-02,1216,統一,listed,29,242,987,-213,0,6,49,-6,3,TWSE
2025-07-02,1217,愛之味,listed,3,41,2173,-38,0,0,0,0,0,TWSE
2025-07-02,1218,泰山,listed,5,253,2271,-250,3,0,3,3,0,TWSE
2025-07-02,1219,福壽,listed,1,5,1767,-4,0,0,0,0,0,TWSE
2025-07-02,1220,台榮,listed,0,26,1147,-26,0,0,0,0,0,TWSE
2025-07-02,1225,福懋油,listed,43,15,5828,28,2,0,4,2,0,TWSE
2025-07-02,1227,佳格,listed,14,3,1971,11,0,0,10,0,0,TWSE
2025-07-02,1229,聯華,listed,10,1,977,9,0,0,3,0,0,TWSE
2025-07-02,1231,聯華食,listed,4,1,309,3,0,0,0,0,0,TWSE
2025-07-02,1232,大統益,listed,0,1,13,-1,0,0,0,0,0,TWSE
2025-07-02,1233,天仁,listed,0,2,83,-2,0,0,0,0,0,TWSE
2025-07-02,1234,黑松,listed,0,0,277,0,0,1,1,-1,0,TWSE
2025-07-02,1235,興泰,listed,0,3,1146,-3,0,0,0,0,0,TWSE
2025-07-02,1236,宏亞,listed,0,0,180,0,0,0,0,0,0,TWSE
2025-07-02,1256,鮮活果汁-KY,listed,0,0,90,0,0,0,0,0,0,TWSE
2025-07-02,1301,台塑,listed,83,169,23542,-86,4,6,224,-2,0,TWSE
2025-07-02,1303,南亞,listed,391,695,18452,-304,23,7,63,16,15,TWSE
2025-07-02,1304,台聚,listed,6,23,7575,-17,5,2,42,3,0,TWSE
2025-07-02,1305,華夏,listed,19,62,2548,-43,0,0,12,0,0,TWSE
2025-07-02,1307,三芳,listed,42,45,1833,-3,0,10,8,-10,0,TWSE
2025-07-02,1308,亞聚,listed,11,5,2621,6,0,0,11,0,0,TWSE
2025-07-02,1309,台達化,listed,54,37,3312,17,0,1,1,-1,0,TWSE
2025-07-02,1310,台苯,listed,7,14,2953,-7,1,0,7,1,0,TWSE
2025-07-02,1312,國喬,listed,54,75,17148,-161,1,0,48,1,0,TWSE
2025-07-02,1313,聯成,listed,155,29,5802,122,0,0,3,0,0,TWSE
2025-07-02,1314,中石化,listed,96,330,35273,-234,1,0,136,1,1,TWSE
2025-07-02,1315,達新,listed,0,0,56,0,0,0,0,0,0,TWSE
2025-07-02,1316,上曜,listed,514,195,21776,319,33,0,126,33,0,TWSE
2025-07-02,1319,東陽,listed,53,58,2863,-5,4,3,212,1,0,TWSE
2025-07-02,1321,大洋,listed,46,35,3077,11,0,0,0,0,0,TWSE
2025-07-02,1323,永裕,listed,0,0,215,0,0,0,0,0,0,TWSE
2025-07-02,1324,地球,listed,2,0,2097,2,0,0,0,0,0,TWSE
